gene,origin_score,via_A_hallmark,criterion_B_human,route_human,n_independent_human,n_independent_incl_mouse,ENCODE_ChIP-seq,ReMap_ChIP-seq,Literature_ChIP-seq_human,Literature_ChIP-seq_mouse,TRRUST_v2_curated
MYC,True,False,True,B_only,3,4,True,True,False,True,True
IL6,True,True,True,both,3,3,True,False,True,False,True
SOCS3,True,True,True,both,3,4,True,True,False,True,True
BCL2,True,False,False,neither,1,1,False,False,False,False,True
HGF,True,False,False,neither,1,2,False,False,False,True,True
MMP9,True,False,False,neither,1,2,False,False,False,True,True
ACVR1B,False,True,False,A_only,0,1,False,False,False,True,False
ACVRL1,False,True,False,A_only,0,1,False,False,False,True,False
BAK1,False,True,False,A_only,1,1,True,False,False,False,False
CBL,False,True,False,A_only,0,0,False,False,False,False,False
CCL7,False,True,False,A_only,0,0,False,False,False,False,False
CD14,False,True,False,A_only,1,2,False,True,False,True,False
CD36,False,True,False,A_only,1,1,False,False,True,False,False
CD38,False,True,False,A_only,1,1,False,False,True,False,False
CD44,False,True,False,A_only,1,2,False,True,False,True,False
CNTFR,False,True,False,A_only,0,0,False,False,False,False,False
CRLF2,False,True,False,A_only,1,1,True,False,False,False,False
CSF1,False,True,False,A_only,1,2,True,False,False,True,False
CSF2,False,True,False,A_only,1,2,True,False,False,True,False
CSF2RA,False,True,False,A_only,1,1,True,False,False,False,False
CSF2RB,False,True,False,A_only,0,0,False,False,False,False,False
CSF3R,False,True,False,A_only,0,1,False,False,False,True,False
CXCL1,False,True,False,A_only,1,1,True,False,False,False,False
CXCL10,False,True,False,A_only,0,0,False,False,False,False,False
CXCL11,False,True,False,A_only,1,1,True,False,False,False,False
CXCL13,False,True,False,A_only,0,0,False,False,False,False,False
CXCL3,False,True,False,A_only,1,1,True,False,False,False,False
CXCL9,False,True,False,A_only,0,0,False,False,False,False,False
DNTT,False,True,False,A_only,0,0,False,False,False,False,False
EBI3,False,True,False,A_only,1,1,True,False,False,False,False
FAS,False,True,False,A_only,1,2,False,False,False,True,True
GRB2,False,True,False,A_only,0,1,False,False,False,True,False
HAX1,False,True,False,A_only,1,1,True,False,False,False,False
IFNGR2,False,True,False,A_only,1,2,False,True,False,True,False
IL10RB,False,True,False,A_only,1,2,True,False,False,True,False
IL12RB1,False,True,False,A_only,0,1,False,False,False,True,False
IL15RA,False,True,False,A_only,0,0,False,False,False,False,False
IL17RA,False,True,False,A_only,0,0,False,False,False,False,False
IL17RB,False,True,False,A_only,1,1,True,False,False,False,False
IL18R1,False,True,False,A_only,0,0,False,False,False,False,False
IL1R1,False,True,False,A_only,0,0,False,False,False,False,False
IL1R2,False,True,False,A_only,1,2,True,False,False,True,False
IL2RA,False,True,False,A_only,1,2,False,False,False,True,True
IL2RG,False,True,False,A_only,0,0,False,False,False,False,False
IL3RA,False,True,False,A_only,1,1,True,False,False,False,False
IL6ST,False,True,False,A_only,1,2,True,False,False,True,False
IL7,False,True,False,A_only,1,2,True,False,False,True,False
IL9R,False,True,False,A_only,0,0,False,False,False,False,False
INHBE,False,True,False,A_only,0,0,False,False,False,False,False
ITGB3,False,True,False,A_only,1,1,False,False,True,False,False
LEPR,False,True,False,A_only,1,1,False,False,True,False,False
LTB,False,True,False,A_only,0,0,False,False,False,False,False
OSMR,False,True,False,A_only,1,1,True,False,False,False,False
PDGFC,False,True,False,A_only,1,2,False,False,True,True,False
PF4,False,True,False,A_only,0,0,False,False,False,False,False
PIK3R5,False,True,False,A_only,0,1,False,False,False,True,False
PLA2G2A,False,True,False,A_only,0,0,False,False,False,False,False
PTPN11,False,True,False,A_only,1,2,True,False,False,True,False
REG1A,False,True,False,A_only,0,0,False,False,False,False,False
SOCS1,False,True,False,A_only,1,1,False,False,False,False,True
STAM2,False,True,False,A_only,1,1,True,False,False,False,False
STAT2,False,True,False,A_only,1,2,True,False,False,True,False
TGFB1,False,True,False,A_only,1,1,False,False,False,False,True
TLR2,False,True,False,A_only,0,0,False,False,False,False,False
TNF,False,True,False,A_only,0,0,False,False,False,False,False
TNFRSF12A,False,True,False,A_only,1,1,False,True,False,False,False
TNFRSF1B,False,True,False,A_only,1,1,False,True,False,False,False
AAK1,False,False,True,B_only,2,2,True,False,True,False,False
AASS,False,False,True,B_only,2,2,True,False,True,False,False
