gene,via_A,via_B,route,origin_score,ev_ENCODE_ChIPseq,ev_ReMap_ChIPseq,ev_Literature_human,ev_Literature_mouse,ev_TRRUST_v2,n_chipseq_human
MYC,FALSE,TRUE,B_only,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2
IL6,TRUE,TRUE,both,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2
SOCS3,TRUE,TRUE,both,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2
ACVR1B,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
ACVRL1,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
BAK1,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
CBL,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
CCL7,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
CCR1,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2
CD14,TRUE,FALSE,A_only,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1
CD36,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
CD38,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
CD44,TRUE,FALSE,A_only,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1
CD9,TRUE,FALSE,A_only,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2
CNTFR,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
CRLF2,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
CSF1,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
CSF2,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
CSF2RA,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
CSF2RB,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
CSF3R,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
CXCL1,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
CXCL10,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
CXCL11,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
CXCL13,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
CXCL3,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
CXCL9,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
DNTT,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
EBI3,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
FAS,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0
GRB2,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
HAX1,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
IFNGR1,TRUE,FALSE,A_only,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2
IFNGR2,TRUE,FALSE,A_only,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1
IL10RB,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
IL12RB1,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
IL13RA1,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2
IL15RA,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
IL17RA,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
IL17RB,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
IL18R1,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
IL1B,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2
IL1R1,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
IL1R2,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
IL2RA,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0
IL2RG,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
IL3RA,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
IL4R,TRUE,FALSE,A_only,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3
IL6ST,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
IL7,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
IL9R,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
INHBE,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
IRF9,TRUE,FALSE,A_only,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2
ITGA4,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2
ITGB3,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
JUN,TRUE,FALSE,A_only,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2
LEPR,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
LTB,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
LTBR,TRUE,FALSE,A_only,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2
MAP3K8,TRUE,FALSE,A_only,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2
OSMR,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
PDGFC,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
PF4,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
PIK3R5,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
PLA2G2A,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
PTPN1,TRUE,FALSE,A_only,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2
PTPN11,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
PTPN2,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2
REG1A,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
SOCS1,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
STAM2,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
STAT2,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
STAT3,TRUE,FALSE,A_only,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2
TGFB1,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
TLR2,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
TNF,TRUE,FALSE,A_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
TNFRSF12A,TRUE,FALSE,A_only,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1
TNFRSF1A,TRUE,FALSE,A_only,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2
TNFRSF1B,TRUE,FALSE,A_only,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1
TNFRSF21,TRUE,FALSE,A_only,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2
ABCA1,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
AKAP12,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
BCL2L1,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2
BCL6,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3
CCND1,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
CCND3,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
CDK4,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2
CDKN1A,FALSE,TRUE,B_only,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1
CDKN1B,FALSE,TRUE,B_only,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1
CFLAR,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2
CISH,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
COPS5,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
CXCL8,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
DDIT3,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
DNMT1,FALSE,TRUE,B_only,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1
EPAS1,FALSE,TRUE,B_only,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1
ESR2,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2
ETV6,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2
FGG,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
FGL1,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
FOS,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
GFAP,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2
GREB1,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
HSPA4,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
HSPB1,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
ICAM1,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
IKBKE,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2
JAK2,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2
JUNB,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2
KRT17,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
LEP,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
LGALS3BP,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2
LTBP1,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
MCL1,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
MDC1,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
MMP1,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
MMP7,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
MUC1,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
NME1,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
OAS1,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
OPRM1,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
PAX3,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
PHB,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
POU2F1,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
PPARA,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
PRDM1,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
PROS1,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
PSMB5,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
PTGS2,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
PTPN6,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2
ROR1,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
S100A11,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
S1PR1,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
SALL4,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
SHH,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
STK11,FALSE,TRUE,B_only,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1
TIMP1,FALSE,TRUE,B_only,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2
TNFRSF10B,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2
TP53,FALSE,TRUE,B_only,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
TP63,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
VDR,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
VEGFA,FALSE,TRUE,B_only,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
VEGFB,FALSE,TRUE,B_only,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1
ZFP36,FALSE,TRUE,B_only,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1
A2M,TRUE,TRUE,both,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
HMOX1,TRUE,TRUE,both,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
IFNAR1,TRUE,TRUE,both,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
IRF1,TRUE,TRUE,both,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
MYD88,TRUE,TRUE,both,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
PIM1,TRUE,TRUE,both,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
STAT1,TRUE,TRUE,both,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
TYK2,TRUE,TRUE,both,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
