"cohort","model","params","events","epv","band"
"TCGA-COAD","M1",1,102,102,"fit_and_pool"
"TCGA-COAD","M2",5,102,20.4,"fit_and_pool"
"TCGA-COAD","M3",6,102,17,"fit_and_pool"
"TCGA-COAD","M4",7,102,14.57,"fit_and_pool"
"TCGA-READ","M1",1,36,36,"fit_and_pool"
"TCGA-READ","M2",5,36,7.2,"fit_pool_flag_LOO"
"TCGA-READ","M3",6,36,6,"fit_pool_flag_LOO"
"TCGA-READ","M4",7,36,5.14,"fit_pool_flag_LOO"
"TCGA-STAD","M1",1,157,157,"fit_and_pool"
"TCGA-STAD","M2",5,157,31.4,"fit_and_pool"
"TCGA-STAD","M3",6,157,26.17,"fit_and_pool"
"TCGA-STAD","M4",7,157,22.43,"fit_and_pool"
"TCGA-ESCA","M1",1,77,77,"fit_and_pool"
"TCGA-ESCA","M2",5,77,15.4,"fit_and_pool"
"TCGA-ESCA","M3",6,77,12.83,"fit_and_pool"
"TCGA-ESCA","M4",7,77,11,"fit_and_pool"
"TCGA-PAAD","M1",1,93,93,"fit_and_pool"
"TCGA-PAAD","M2",5,93,18.6,"fit_and_pool"
"TCGA-PAAD","M3",6,93,15.5,"fit_and_pool"
"TCGA-PAAD","M4",7,93,13.29,"fit_and_pool"
"TCGA-LIHC","M1",1,130,130,"fit_and_pool"
"TCGA-LIHC","M2",5,130,26,"fit_and_pool"
"TCGA-LIHC","M3",6,130,21.67,"fit_and_pool"
"TCGA-LIHC","M4",7,130,18.57,"fit_and_pool"
"TCGA-CHOL","M1",1,18,18,"fit_and_pool"
"TCGA-CHOL","M2",5,18,3.6,"do_not_fit"
"TCGA-CHOL","M3",6,18,3,"do_not_fit"
"TCGA-CHOL","M4",7,18,2.57,"do_not_fit"
