"cohort","step","n"
"TCGA-COAD","n_samples_in",524
"TCGA-COAD","n_dropped_not_primary",43
"TCGA-COAD","n_dropped_dup_aliquot",23
"TCGA-COAD","n_multi_aliquot_patients",13
"TCGA-COAD","n_after_sample_filter",458
"TCGA-COAD","n_dropped_no_cdr_match",2
"TCGA-COAD","n_after_cdr_join",456
"TCGA-COAD","n_primary_truncated",8
"TCGA-COAD","n_primary_events_censored",0
"TCGA-COAD","n_sens_truncated",35
"TCGA-COAD","n_missing_endpoint",1
"TCGA-COAD","n_dropped_no_endpoint",1
"TCGA-COAD","n_final",455
"TCGA-READ","n_samples_in",177
"TCGA-READ","n_dropped_not_primary",11
"TCGA-READ","n_dropped_dup_aliquot",0
"TCGA-READ","n_multi_aliquot_patients",0
"TCGA-READ","n_after_sample_filter",166
"TCGA-READ","n_dropped_no_cdr_match",1
"TCGA-READ","n_after_cdr_join",165
"TCGA-READ","n_primary_truncated",6
"TCGA-READ","n_primary_events_censored",1
"TCGA-READ","n_sens_truncated",2
"TCGA-READ","n_missing_endpoint",0
"TCGA-READ","n_dropped_no_endpoint",0
"TCGA-READ","n_final",165
"TCGA-STAD","n_samples_in",448
"TCGA-STAD","n_dropped_not_primary",36
"TCGA-STAD","n_dropped_dup_aliquot",0
"TCGA-STAD","n_multi_aliquot_patients",0
"TCGA-STAD","n_after_sample_filter",412
"TCGA-STAD","n_dropped_no_cdr_match",0
"TCGA-STAD","n_after_cdr_join",412
"TCGA-STAD","n_primary_truncated",1
"TCGA-STAD","n_primary_events_censored",0
"TCGA-STAD","n_sens_truncated",15
"TCGA-STAD","n_missing_endpoint",6
"TCGA-STAD","n_dropped_no_endpoint",6
"TCGA-STAD","n_final",406
"TCGA-ESCA","n_samples_in",198
"TCGA-ESCA","n_dropped_not_primary",14
"TCGA-ESCA","n_dropped_dup_aliquot",0
"TCGA-ESCA","n_multi_aliquot_patients",0
"TCGA-ESCA","n_after_sample_filter",184
"TCGA-ESCA","n_dropped_no_cdr_match",0
"TCGA-ESCA","n_after_cdr_join",184
"TCGA-ESCA","n_primary_truncated",1
"TCGA-ESCA","n_primary_events_censored",0
"TCGA-ESCA","n_sens_truncated",4
"TCGA-ESCA","n_missing_endpoint",0
"TCGA-ESCA","n_dropped_no_endpoint",0
"TCGA-ESCA","n_final",184
"TCGA-PAAD","n_samples_in",183
"TCGA-PAAD","n_dropped_not_primary",5
"TCGA-PAAD","n_dropped_dup_aliquot",0
"TCGA-PAAD","n_multi_aliquot_patients",0
"TCGA-PAAD","n_after_sample_filter",178
"TCGA-PAAD","n_dropped_no_cdr_match",0
"TCGA-PAAD","n_after_cdr_join",178
"TCGA-PAAD","n_primary_truncated",0
"TCGA-PAAD","n_primary_events_censored",0
"TCGA-PAAD","n_sens_truncated",5
"TCGA-PAAD","n_missing_endpoint",0
"TCGA-PAAD","n_dropped_no_endpoint",0
"TCGA-PAAD","n_final",178
"TCGA-LIHC","n_samples_in",424
"TCGA-LIHC","n_dropped_not_primary",53
"TCGA-LIHC","n_dropped_dup_aliquot",0
"TCGA-LIHC","n_multi_aliquot_patients",0
"TCGA-LIHC","n_after_sample_filter",371
"TCGA-LIHC","n_dropped_no_cdr_match",0
"TCGA-LIHC","n_after_cdr_join",371
"TCGA-LIHC","n_primary_truncated",1
"TCGA-LIHC","n_primary_events_censored",0
"TCGA-LIHC","n_sens_truncated",18
"TCGA-LIHC","n_missing_endpoint",1
"TCGA-LIHC","n_dropped_no_endpoint",1
"TCGA-LIHC","n_final",370
"TCGA-CHOL","n_samples_in",44
"TCGA-CHOL","n_dropped_not_primary",9
"TCGA-CHOL","n_dropped_dup_aliquot",0
"TCGA-CHOL","n_multi_aliquot_patients",0
"TCGA-CHOL","n_after_sample_filter",35
"TCGA-CHOL","n_dropped_no_cdr_match",0
"TCGA-CHOL","n_after_cdr_join",35
"TCGA-CHOL","n_primary_truncated",0
"TCGA-CHOL","n_primary_events_censored",0
"TCGA-CHOL","n_sens_truncated",1
"TCGA-CHOL","n_missing_endpoint",0
"TCGA-CHOL","n_dropped_no_endpoint",0
"TCGA-CHOL","n_final",35
