"cohort","barcode","cms","cms_p","cms_fdr","n_template_genes"
"TCGA-COAD","TCGA-3L-AA1B-01A-11R-A37K-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-4N-A93T-01A-11R-A37K-07","CMS2",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-4T-AA8H-01A-11R-A41B-07","CMS3",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-5M-AAT4-01A-11R-A41B-07","CMS2",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-5M-AAT6-01A-11R-A41B-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-5M-AATE-01A-11R-A41B-07","CMS2",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2671-01A-01R-1410-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2672-01A-01R-0826-07","CMS1",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2674-01A-02R-0821-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2675-01A-02R-1723-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2676-01A-01R-0826-07","CMS1",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2677-01A-01R-0821-07","CMS2",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2678-01A-01R-0821-07","CMS3",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2679-01A-02R-1410-07","CMS2",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2680-01A-01R-1410-07","CMS2",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2681-01A-01R-1410-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2682-01A-01R-1410-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2683-01A-01R-0821-07","CMS2",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2684-01A-01R-1410-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2685-01A-01R-1410-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-2686-01A-01R-A32Z-07","CMS1",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-3807-01A-01R-1022-07","CMS4",0.001998001998002,0.00216966804078976,481
"TCGA-COAD","TCGA-A6-3808-01A-01R-1022-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-3809-01A-01R-1022-07","CMS1",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-3810-01A-01R-1022-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-4105-01A-02R-1774-07","CMS4",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-4107-01A-02R-1410-07","CMS2",0.001,0.00111793611793612,481
"TCGA-COAD","TCGA-A6-5656-01A-21R-1839-07","CMS2",0.001,0.00111793611793612,481
