"cohort","tertile","cms","n","chisq","df","p_asymptotic","p_simulated","min_expected"
"TCGA-COAD","T1","CMS1",16,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-COAD","T2","CMS1",22,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-COAD","T3","CMS1",45,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-COAD","T1","CMS2",81,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-COAD","T2","CMS2",61,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-COAD","T3","CMS2",15,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-COAD","T1","CMS3",35,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-COAD","T2","CMS3",29,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-COAD","T3","CMS3",9,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-COAD","T1","CMS4",15,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-COAD","T2","CMS4",34,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-COAD","T3","CMS4",76,122.9298,6,3.949e-24,9.999e-05,24.167
"TCGA-READ","T1","CMS1",3,38.8027,6,7.824e-07,9.999e-05,5.161
"TCGA-READ","T2","CMS1",6,38.8027,6,7.824e-07,9.999e-05,5.161
"TCGA-READ","T3","CMS1",7,38.8027,6,7.824e-07,9.999e-05,5.161
"TCGA-READ","T1","CMS2",27,38.8027,6,7.824e-07,9.999e-05,5.161
"TCGA-READ","T2","CMS2",19,38.8027,6,7.824e-07,9.999e-05,5.161
"TCGA-READ","T3","CMS2",6,38.8027,6,7.824e-07,9.999e-05,5.161
"TCGA-READ","T1","CMS3",16,38.8027,6,7.824e-07,9.999e-05,5.161
"TCGA-READ","T2","CMS3",9,38.8027,6,7.824e-07,9.999e-05,5.161
"TCGA-READ","T3","CMS3",8,38.8027,6,7.824e-07,9.999e-05,5.161
"TCGA-READ","T1","CMS4",4,38.8027,6,7.824e-07,9.999e-05,5.161
"TCGA-READ","T2","CMS4",19,38.8027,6,7.824e-07,9.999e-05,5.161
"TCGA-READ","T3","CMS4",31,38.8027,6,7.824e-07,9.999e-05,5.161
