"gene","atlas","tissue","f_at_0.30","f_at_0.50","f_at_0.70","ci_lo_0.30","ci_hi_0.30","evaluable","dominant","dominant_50","dom_rate","dom_rate_lo","dom_rate_hi","dom_n_eval","dom50_rate","origin_six","in_panel","qualifying"
"MYC","GSE125449","liver_biliary",0.327426599744924,0.531819568673422,0.726064937627431,0.12924412836675,0.66480004141111,TRUE,FALSE,TRUE,0.16,0,1,2000,0.5905,TRUE,TRUE,TRUE
"IL6","GSE125449","liver_biliary",0.0182233762524951,0.041512546256318,0.0917824439955636,0,0.101045110438252,TRUE,FALSE,FALSE,0,0,0,2000,5e-04,TRUE,TRUE,TRUE
"SOCS3","GSE125449","liver_biliary",0.0570576285857309,0.123722081903873,0.247806079090946,0.0228379475623862,0.171107469008546,TRUE,FALSE,FALSE,0,0,0,2000,5e-04,TRUE,TRUE,TRUE
"ACVR1B","GSE125449","liver_biliary",0.552955787368786,0.74267495280827,0.87070608706155,0.390134093053515,0.787828185772511,TRUE,TRUE,TRUE,0.709,0,1,2000,1,FALSE,TRUE,TRUE
"ACVRL1","GSE125449","liver_biliary",0.124068167613141,0.248400870055587,0.435397780225366,0.0166003991127354,0.404048113975444,TRUE,FALSE,FALSE,0.008,0,0,2000,0.089,FALSE,TRUE,TRUE
"BAK1","GSE125449","liver_biliary",0.380766128003533,0.58928252934377,0.769997669466272,0.282045592006972,0.482349232508316,TRUE,FALSE,TRUE,0.006,0,0,2000,0.946,FALSE,TRUE,TRUE
"CBL","GSE125449","liver_biliary",0.251535694182717,0.43951250801796,0.646606810644666,0.119749265589232,0.404677876791038,TRUE,FALSE,FALSE,0.001,0,0,2000,0.255,FALSE,TRUE,TRUE
"CCL7","GSE125449","liver_biliary",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,FALSE,TRUE,TRUE
"CCR1","GSE125449","liver_biliary",0.0242436651100211,0.0547972374259054,0.119154441685274,0,0.0570625348285367,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"CD14","GSE125449","liver_biliary",0.372316010715276,0.580543280618873,0.763560837051825,0.0467042460833441,0.665486659689251,TRUE,FALSE,TRUE,0.2135,0,1,2000,0.5745,FALSE,TRUE,TRUE
"CD36","GSE125449","liver_biliary",0.111516583819565,0.226523813179563,0.405946754921933,0.014363834345042,0.42827951206324,TRUE,FALSE,FALSE,0.009,0,0,2000,0.0795,FALSE,TRUE,TRUE
"CD38","GSE125449","liver_biliary",0.00791927486625725,0.0182852336330881,0.0416501026664089,0.00444862312046183,0.0176534757307485,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"CD44","GSE125449","liver_biliary",0.328383652237025,0.532900689121799,0.726927823697357,0.063449568499643,0.531995455135694,TRUE,FALSE,TRUE,0.056,0,1,2000,0.5385,FALSE,TRUE,TRUE
"CD9","GSE125449","liver_biliary",0.280921626510051,0.476867332831917,0.680202178445471,0.0633851451349687,0.612632887376078,TRUE,FALSE,FALSE,0.092,0,1,2000,0.402,FALSE,TRUE,TRUE
"CNTFR","GSE125449","liver_biliary",0.587403794863979,0.768620999102603,0.885729058945191,0.217368615805928,1,FALSE,NA,NA,0.75047258979206,0,1,529,0.988657844990548,FALSE,TRUE,TRUE
"CRLF2","GSE125449","liver_biliary",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,FALSE,TRUE,TRUE
"CSF1","GSE125449","liver_biliary",0.329666544711834,0.534346883370078,0.728079818626531,0.200739073295163,0.505021521717998,TRUE,FALSE,TRUE,0.0285,0,1,2000,0.6615,FALSE,TRUE,TRUE
"CSF2","GSE125449","liver_biliary",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,FALSE,TRUE,TRUE
"CSF2RA","GSE125449","liver_biliary",0.181208646914806,0.340541438432242,0.546469392408559,0.0348122734941025,0.389235724487836,TRUE,FALSE,FALSE,0.003,0,0,2000,0.125,FALSE,TRUE,TRUE
