"gene","atlas","tissue","compartment","fraction","n_cells","qualifying"
"MYC","GSE125449","liver_biliary","epithelial",0.339028776978417,3094,TRUE
"IL6","GSE125449","liver_biliary","epithelial",0.0191815856777494,3094,TRUE
"SOCS3","GSE125449","liver_biliary","epithelial",0.0599331423113658,3094,TRUE
"ACVR1B","GSE125449","liver_biliary","epithelial",0.565826330532213,3094,TRUE
"ACVRL1","GSE125449","liver_biliary","epithelial",0.129855715871254,3094,TRUE
"BAK1","GSE125449","liver_biliary","epithelial",0.393153526970954,3094,TRUE
"CBL","GSE125449","liver_biliary","epithelial",0.261494252873563,3094,TRUE
"CCL7","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"CCR1","GSE125449","liver_biliary","epithelial",0.0255102040816327,3094,TRUE
"CD14","GSE125449","liver_biliary","epithelial",0.384599244649601,3094,TRUE
"CD36","GSE125449","liver_biliary","epithelial",0.116796695731987,3094,TRUE
"CD38","GSE125449","liver_biliary","epithelial",0.00834028356964137,3094,TRUE
"CD44","GSE125449","liver_biliary","epithelial",0.340002598414967,3094,TRUE
"CD9","GSE125449","liver_biliary","epithelial",0.291590354090354,3094,TRUE
"CNTFR","GSE125449","liver_biliary","epithelial",0.6,3094,TRUE
"CRLF2","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"CSF1","GSE125449","liver_biliary","epithelial",0.341307814992026,3094,TRUE
"CSF2","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"CSF2RA","GSE125449","liver_biliary","epithelial",0.189086294416244,3094,TRUE
"CSF2RB","GSE125449","liver_biliary","epithelial",0.00934579439252336,3094,TRUE
"CSF3R","GSE125449","liver_biliary","epithelial",0.051948051948052,3094,TRUE
"CXCL1","GSE125449","liver_biliary","epithelial",0.943118334179787,3094,TRUE
"CXCL10","GSE125449","liver_biliary","epithelial",0.197210383572259,3094,TRUE
"CXCL11","GSE125449","liver_biliary","epithelial",0.177676537585421,3094,TRUE
"CXCL13","GSE125449","liver_biliary","epithelial",0.0174804098854732,3094,TRUE
"CXCL3","GSE125449","liver_biliary","epithelial",0.42233601560595,3094,TRUE
"CXCL9","GSE125449","liver_biliary","epithelial",0.0647359454855196,3094,TRUE
"DNTT","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"EBI3","GSE125449","liver_biliary","epithelial",0.0927152317880795,3094,TRUE
"FAS","GSE125449","liver_biliary","epithelial",0.258345428156749,3094,TRUE
"GRB2","GSE125449","liver_biliary","epithelial",0.271166715158568,3094,TRUE
"HAX1","GSE125449","liver_biliary","epithelial",0.508145131432803,3094,TRUE
"IFNGR1","GSE125449","liver_biliary","epithelial",0.401040312093628,3094,TRUE
"IFNGR2","GSE125449","liver_biliary","epithelial",0.453435804701627,3094,TRUE
"IL10RB","GSE125449","liver_biliary","epithelial",0.356386292834891,3094,TRUE
"IL12RB1","GSE125449","liver_biliary","epithelial",0.0259067357512953,3094,TRUE
"IL13RA1","GSE125449","liver_biliary","epithelial",0.518131530424093,3094,TRUE
"IL15RA","GSE125449","liver_biliary","epithelial",0.462203023758099,3094,TRUE
"IL17RA","GSE125449","liver_biliary","epithelial",0.28158844765343,3094,TRUE
"IL17RB","GSE125449","liver_biliary","epithelial",0.865454545454545,3094,TRUE
"IL18R1","GSE125449","liver_biliary","epithelial",0.177142857142857,3094,TRUE
"IL1B","GSE125449","liver_biliary","epithelial",0.0175612988734261,3094,TRUE
"IL1R1","GSE125449","liver_biliary","epithelial",0.440567066521265,3094,TRUE
"IL1R2","GSE125449","liver_biliary","epithelial",0.73780487804878,3094,TRUE
"IL2RA","GSE125449","liver_biliary","epithelial",0.0305882352941176,3094,TRUE
"IL2RG","GSE125449","liver_biliary","epithelial",0.168787878787879,3094,TRUE
"IL3RA","GSE125449","liver_biliary","epithelial",0.014720314033366,3094,TRUE
"IL4R","GSE125449","liver_biliary","epithelial",0.286215978928885,3094,TRUE
"IL6ST","GSE125449","liver_biliary","epithelial",0.349191937534048,3094,TRUE
