"gene","atlas","tissue","compartment","pct_cells_detected","n_cells","qualifying"
"MYC","GSE125449","liver_biliary","epithelial",0.160633484162896,3094,TRUE
"IL6","GSE125449","liver_biliary","epithelial",0.00387847446670976,3094,TRUE
"SOCS3","GSE125449","liver_biliary","epithelial",0.130575307045895,3094,TRUE
"ACVR1B","GSE125449","liver_biliary","epithelial",0.0581771170006464,3094,TRUE
"ACVRL1","GSE125449","liver_biliary","epithelial",0.0268261150614092,3094,TRUE
"BAK1","GSE125449","liver_biliary","epithelial",0.102779573367809,3094,TRUE
"CBL","GSE125449","liver_biliary","epithelial",0.0549450549450549,3094,TRUE
"CCL7","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"CCR1","GSE125449","liver_biliary","epithelial",0.00161603102779573,3094,TRUE
"CD14","GSE125449","liver_biliary","epithelial",0.122171945701357,3094,TRUE
"CD36","GSE125449","liver_biliary","epithelial",0.0517129928894635,3094,TRUE
"CD38","GSE125449","liver_biliary","epithelial",0.00323206205559147,3094,TRUE
"CD44","GSE125449","liver_biliary","epithelial",0.233678086619263,3094,TRUE
"CD9","GSE125449","liver_biliary","epithelial",0.282805429864253,3094,TRUE
"CNTFR","GSE125449","liver_biliary","epithelial",0.00258564964447317,3094,TRUE
"CRLF2","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"CSF1","GSE125449","liver_biliary","epithelial",0.059469941822883,3094,TRUE
"CSF2","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"CSF2RA","GSE125449","liver_biliary","epithelial",0.0332902391725921,3094,TRUE
"CSF2RB","GSE125449","liver_biliary","epithelial",0.00096961861667744,3094,TRUE
"CSF3R","GSE125449","liver_biliary","epithelial",0.00387847446670976,3094,TRUE
"CXCL1","GSE125449","liver_biliary","epithelial",0.314802844214609,3094,TRUE
"CXCL10","GSE125449","liver_biliary","epithelial",0.0261797026502909,3094,TRUE
"CXCL11","GSE125449","liver_biliary","epithelial",0.015513897866839,3094,TRUE
"CXCL13","GSE125449","liver_biliary","epithelial",0.00614091790562379,3094,TRUE
"CXCL3","GSE125449","liver_biliary","epithelial",0.191014867485456,3094,TRUE
"CXCL9","GSE125449","liver_biliary","epithelial",0.015513897866839,3094,TRUE
"DNTT","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"EBI3","GSE125449","liver_biliary","epithelial",0.00420168067226891,3094,TRUE
"FAS","GSE125449","liver_biliary","epithelial",0.0394311570782159,3094,TRUE
"GRB2","GSE125449","liver_biliary","epithelial",0.200387847446671,3094,TRUE
"HAX1","GSE125449","liver_biliary","epithelial",0.394634776987718,3094,TRUE
"IFNGR1","GSE125449","liver_biliary","epithelial",0.220103425985779,3094,TRUE
"IFNGR2","GSE125449","liver_biliary","epithelial",0.203296703296703,3094,TRUE
"IL10RB","GSE125449","liver_biliary","epithelial",0.149321266968326,3094,TRUE
"IL12RB1","GSE125449","liver_biliary","epithelial",0.00323206205559147,3094,TRUE
"IL13RA1","GSE125449","liver_biliary","epithelial",0.199418228829994,3094,TRUE
"IL15RA","GSE125449","liver_biliary","epithelial",0.099224305106658,3094,TRUE
"IL17RA","GSE125449","liver_biliary","epithelial",0.0491273432449903,3094,TRUE
"IL17RB","GSE125449","liver_biliary","epithelial",0.0627020038784745,3094,TRUE
"IL18R1","GSE125449","liver_biliary","epithelial",0.0100193923723335,3094,TRUE
"IL1B","GSE125449","liver_biliary","epithelial",0.013251454427925,3094,TRUE
"IL1R1","GSE125449","liver_biliary","epithelial",0.1060116354234,3094,TRUE
"IL1R2","GSE125449","liver_biliary","epithelial",0.06819650937298,3094,TRUE
"IL2RA","GSE125449","liver_biliary","epithelial",0.00355526826115061,3094,TRUE
"IL2RG","GSE125449","liver_biliary","epithelial",0.0817711700064641,3094,TRUE
"IL3RA","GSE125449","liver_biliary","epithelial",0.0048480930833872,3094,TRUE
"IL4R","GSE125449","liver_biliary","epithelial",0.0943762120232708,3094,TRUE
"IL6ST","GSE125449","liver_biliary","epithelial",0.359405300581771,3094,TRUE
"IL7","GSE125449","liver_biliary","epithelial",0.021978021978022,3094,TRUE
"IL9R","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"INHBE","GSE125449","liver_biliary","epithelial",0.10245636716225,3094,TRUE
"IRF9","GSE125449","liver_biliary","epithelial",0.0400775694893342,3094,TRUE
"ITGA4","GSE125449","liver_biliary","epithelial",0.00258564964447317,3094,TRUE
"ITGB3","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"JUN","GSE125449","liver_biliary","epithelial",0.613122171945701,3094,TRUE
"LEPR","GSE125449","liver_biliary","epithelial",0.147382029734971,3094,TRUE
"LTB","GSE125449","liver_biliary","epithelial",0.0898513251454428,3094,TRUE
"LTBR","GSE125449","liver_biliary","epithelial",0.275371687136393,3094,TRUE
"MAP3K8","GSE125449","liver_biliary","epithelial",0.0959922430510666,3094,TRUE
"OSMR","GSE125449","liver_biliary","epithelial",0.162249515190692,3094,TRUE
"PDGFC","GSE125449","liver_biliary","epithelial",0.0950226244343891,3094,TRUE
"PF4","GSE125449","liver_biliary","epithelial",0.0164835164835165,3094,TRUE
"PIK3R5","GSE125449","liver_biliary","epithelial",0.00193923723335488,3094,TRUE
"PLA2G2A","GSE125449","liver_biliary","epithelial",0.0235940530058177,3094,TRUE
"PTPN1","GSE125449","liver_biliary","epithelial",0.114414996767938,3094,TRUE
"PTPN11","GSE125449","liver_biliary","epithelial",0.242727860374919,3094,TRUE
"PTPN2","GSE125449","liver_biliary","epithelial",0.178409825468649,3094,TRUE
"REG1A","GSE125449","liver_biliary","epithelial",0.0504201680672269,3094,TRUE
"SOCS1","GSE125449","liver_biliary","epithelial",0.0442792501616031,3094,TRUE
"STAM2","GSE125449","liver_biliary","epithelial",0.0850032320620556,3094,TRUE
"STAT2","GSE125449","liver_biliary","epithelial",0.12863606981254,3094,TRUE
"STAT3","GSE125449","liver_biliary","epithelial",0.25016160310278,3094,TRUE
"TGFB1","GSE125449","liver_biliary","epithelial",0.153522947640595,3094,TRUE
"TLR2","GSE125449","liver_biliary","epithelial",0.00581771170006464,3094,TRUE
"TNF","GSE125449","liver_biliary","epithelial",0.00743374272786037,3094,TRUE
"TNFRSF12A","GSE125449","liver_biliary","epithelial",0.520685197155785,3094,TRUE
"TNFRSF1A","GSE125449","liver_biliary","epithelial",0.248222365869425,3094,TRUE
"TNFRSF1B","GSE125449","liver_biliary","epithelial",0.0332902391725921,3094,TRUE
"TNFRSF21","GSE125449","liver_biliary","epithelial",0.175177763413058,3094,TRUE
"ABCA1","GSE125449","liver_biliary","epithelial",0.103749191984486,3094,TRUE
"AKAP12","GSE125449","liver_biliary","epithelial",0.0966386554621849,3094,TRUE
"BCL2L1","GSE125449","liver_biliary","epithelial",0.290562378797673,3094,TRUE
"BCL6","GSE125449","liver_biliary","epithelial",0.0500969618616677,3094,TRUE
"CCND1","GSE125449","liver_biliary","epithelial",0.379767291531997,3094,TRUE
"CCND3","GSE125449","liver_biliary","epithelial",0.146735617323853,3094,TRUE
"CDK4","GSE125449","liver_biliary","epithelial",0.319004524886878,3094,TRUE
"CDKN1A","GSE125449","liver_biliary","epithelial",0.273755656108597,3094,TRUE
"CDKN1B","GSE125449","liver_biliary","epithelial",0.10989010989011,3094,TRUE
"CFLAR","GSE125449","liver_biliary","epithelial",0.322236586942469,3094,TRUE
"CISH","GSE125449","liver_biliary","epithelial",0.0345830639948287,3094,TRUE
"COPS5","GSE125449","liver_biliary","epithelial",0.227860374919198,3094,TRUE
"CXCL8","GSE125449","liver_biliary","epithelial",0.297026502908856,3094,TRUE
"DDIT3","GSE125449","liver_biliary","epithelial",0.338073691014868,3094,TRUE
"DNMT1","GSE125449","liver_biliary","epithelial",0.138655462184874,3094,TRUE
