"cohort","comparison","method","n","r","ci_lo","ci_hi","p","label"
"TCGA-COAD","1. total STAT3 RPPA vs STAT3 mRNA","pearson",345,0.3091,0.2104,0.4016,4.48199095985473e-09,"EXPLORATORY_POSTHOC"
"TCGA-ESCA","1. total STAT3 RPPA vs STAT3 mRNA","pearson",125,0.447,0.2946,0.5773,1.72927998850233e-07,"EXPLORATORY_POSTHOC"
"TCGA-LIHC","1. total STAT3 RPPA vs STAT3 mRNA","pearson",181,0.3676,0.2343,0.4874,3.55915003721787e-07,"EXPLORATORY_POSTHOC"
"TCGA-PAAD","1. total STAT3 RPPA vs STAT3 mRNA","pearson",111,0.0742,-0.1137,0.2571,0.438693774524031,"EXPLORATORY_POSTHOC"
"TCGA-READ","1. total STAT3 RPPA vs STAT3 mRNA","pearson",121,0.2608,0.0864,0.4198,0.003857714079535,"EXPLORATORY_POSTHOC"
"TCGA-STAD","1. total STAT3 RPPA vs STAT3 mRNA","pearson",327,0.4149,0.3209,0.5009,4.85372270934577e-15,"EXPLORATORY_POSTHOC"
"TCGA-COAD","1. total STAT3 RPPA vs STAT3 mRNA","spearman",345,0.3211,0.2205,0.4149,1.03409309944299e-09,"EXPLORATORY_POSTHOC"
"TCGA-ESCA","1. total STAT3 RPPA vs STAT3 mRNA","spearman",125,0.4933,0.3386,0.6221,5.05104074956644e-09,"EXPLORATORY_POSTHOC"
"TCGA-LIHC","1. total STAT3 RPPA vs STAT3 mRNA","spearman",181,0.376,0.2387,0.4986,1.82622989111847e-07,"EXPLORATORY_POSTHOC"
"TCGA-PAAD","1. total STAT3 RPPA vs STAT3 mRNA","spearman",111,0.1278,-0.0608,0.3076,0.181201431199547,"EXPLORATORY_POSTHOC"
"TCGA-READ","1. total STAT3 RPPA vs STAT3 mRNA","spearman",121,0.1821,0.0022,0.3506,0.0455991517850426,"EXPLORATORY_POSTHOC"
"TCGA-STAD","1. total STAT3 RPPA vs STAT3 mRNA","spearman",327,0.4045,0.3057,0.4947,2.64164492900664e-14,"EXPLORATORY_POSTHOC"
"TCGA-COAD","2. score_140 vs STAT3 mRNA","pearson",356,0.6987,0.6413,0.7483,2.02039649094413e-53,"EXPLORATORY_POSTHOC"
"TCGA-ESCA","2. score_140 vs STAT3 mRNA","pearson",125,0.565,0.4323,0.6738,6.71290131854306e-12,"EXPLORATORY_POSTHOC"
"TCGA-LIHC","2. score_140 vs STAT3 mRNA","pearson",181,0.6405,0.5456,0.7191,2.77940904363592e-22,"EXPLORATORY_POSTHOC"
"TCGA-PAAD","2. score_140 vs STAT3 mRNA","pearson",113,0.8144,0.7412,0.8685,5.3687574716161e-28,"EXPLORATORY_POSTHOC"
"TCGA-READ","2. score_140 vs STAT3 mRNA","pearson",127,0.7951,0.7207,0.8514,6.3232828436479e-29,"EXPLORATORY_POSTHOC"
"TCGA-STAD","2. score_140 vs STAT3 mRNA","pearson",327,0.7433,0.6906,0.7882,1.04316893270908e-58,"EXPLORATORY_POSTHOC"
"TCGA-COAD","2. score_140 vs STAT3 mRNA","spearman",356,0.7027,0.6388,0.757,2.72605934072717e-54,"EXPLORATORY_POSTHOC"
"TCGA-ESCA","2. score_140 vs STAT3 mRNA","spearman",125,0.5591,0.4143,0.6764,1.22437828989249e-11,"EXPLORATORY_POSTHOC"
"TCGA-LIHC","2. score_140 vs STAT3 mRNA","spearman",181,0.6269,0.5194,0.7148,3.71734987197271e-21,"EXPLORATORY_POSTHOC"
"TCGA-PAAD","2. score_140 vs STAT3 mRNA","spearman",113,0.7789,0.6801,0.8499,3.09466572790842e-24,"EXPLORATORY_POSTHOC"
"TCGA-READ","2. score_140 vs STAT3 mRNA","spearman",127,0.744,0.6414,0.8205,1.22700127340529e-23,"EXPLORATORY_POSTHOC"
"TCGA-STAD","2. score_140 vs STAT3 mRNA","spearman",327,0.7386,0.6776,0.7896,1.30477682354599e-57,"EXPLORATORY_POSTHOC"
"TCGA-COAD","2b. score_139 (STAT3 dropped) vs STAT3 mRNA","pearson",356,0.6897,0.6309,0.7405,1.45979244282401e-51,"EXPLORATORY_POSTHOC"
"TCGA-ESCA","2b. score_139 (STAT3 dropped) vs STAT3 mRNA","pearson",125,0.5504,0.4149,0.6621,2.92989897352384e-11,"EXPLORATORY_POSTHOC"
"TCGA-LIHC","2b. score_139 (STAT3 dropped) vs STAT3 mRNA","pearson",181,0.6323,0.5359,0.7125,1.33487260865335e-21,"EXPLORATORY_POSTHOC"
"TCGA-PAAD","2b. score_139 (STAT3 dropped) vs STAT3 mRNA","pearson",113,0.8097,0.7349,0.865,1.87568659754124e-27,"EXPLORATORY_POSTHOC"
"TCGA-READ","2b. score_139 (STAT3 dropped) vs STAT3 mRNA","pearson",127,0.7889,0.7126,0.8467,3.34018193938172e-28,"EXPLORATORY_POSTHOC"
