"cohort","comparison","method","n","r","ci_lo","ci_hi","p","label"
"TCGA-COAD","score_140 vs RPPA STAT3_pY705 (TCGA-COAD)","pearson",356,0.1998,0.0979,0.2976,0.000147770472012999,"EXPLORATORY_POSTHOC"
"TCGA-COAD","score_140 vs RPPA STAT3_pY705 (TCGA-COAD)","spearman",356,0.2079,0.1052,0.3063,7.71617880221746e-05,"EXPLORATORY_POSTHOC"
"TCGA-READ","score_140 vs RPPA STAT3_pY705 (TCGA-READ)","pearson",127,-0.0092,-0.1831,0.1653,0.918345766726498,"EXPLORATORY_POSTHOC"
"TCGA-READ","score_140 vs RPPA STAT3_pY705 (TCGA-READ)","spearman",127,0.1409,-0.035,0.3084,0.114032400603524,"EXPLORATORY_POSTHOC"
"TCGA-STAD","score_140 vs RPPA STAT3_pY705 (TCGA-STAD)","pearson",327,0.0532,-0.0556,0.1607,0.337865457035594,"EXPLORATORY_POSTHOC"
"TCGA-STAD","score_140 vs RPPA STAT3_pY705 (TCGA-STAD)","spearman",327,0.0445,-0.0643,0.1523,0.422631840081854,"EXPLORATORY_POSTHOC"
"TCGA-ESCA","score_140 vs RPPA STAT3_pY705 (TCGA-ESCA)","pearson",125,0.2073,0.0329,0.3695,0.0203541830988806,"EXPLORATORY_POSTHOC"
"TCGA-ESCA","score_140 vs RPPA STAT3_pY705 (TCGA-ESCA)","spearman",125,0.2582,0.0836,0.4174,0.00364568778235229,"EXPLORATORY_POSTHOC"
"TCGA-PAAD","score_140 vs RPPA STAT3_pY705 (TCGA-PAAD)","pearson",113,0.1802,-0.0047,0.3531,0.0561964794208881,"EXPLORATORY_POSTHOC"
"TCGA-PAAD","score_140 vs RPPA STAT3_pY705 (TCGA-PAAD)","spearman",113,0.0961,-0.0906,0.2764,0.311037858570388,"EXPLORATORY_POSTHOC"
"TCGA-LIHC","score_140 vs RPPA STAT3_pY705 (TCGA-LIHC)","pearson",181,-0.0567,-0.2009,0.0899,0.448298048321729,"EXPLORATORY_POSTHOC"
"TCGA-LIHC","score_140 vs RPPA STAT3_pY705 (TCGA-LIHC)","spearman",181,-0.0707,-0.2145,0.0761,0.344226545141636,"EXPLORATORY_POSTHOC"
"POOLED","score_140 vs RPPA STAT3_pY705 (Fisher z, random effects)","pearson_pooled",1229,0.0964,0.0041,0.1872,0.0407491211154046,"EXPLORATORY_POSTHOC"
