"comparison","tier","method","n","r","ci_lo","ci_hi","p","n_note"
"score_140 vs STAT3:Y705","PRIMARY","pearson",114,0.3491,0.1765,0.5009,0.000140732215133755,"114 of 120 finite Y705 values are used: 6 of those patients have no mRNA column"
"score_140 vs STAT3:Y705","PRIMARY","spearman",114,0.3718,0.1957,0.5248,4.63011527417856e-05,"114 of 120 finite Y705 values are used: 6 of those patients have no mRNA column"
"score_140 vs STAT3:S727","secondary","pearson",132,0.1468,-0.0247,0.3099,0.09310008746442,"132 of 135 finite S727 values are used: 3 of those patients have no mRNA column"
"score_140 vs STAT3:S727","secondary","spearman",132,0.0958,-0.0768,0.2627,0.274769134360269,"132 of 135 finite S727 values are used: 3 of those patients have no mRNA column"
"score_140 vs STAT3 protein (S1D)","secondary","pearson",208,0.2796,0.1492,0.4004,4.31174534284744e-05,""
"score_140 vs STAT3 protein (S1D)","secondary","spearman",208,0.3364,0.2063,0.4548,6.75986311092587e-07,""
"score_139 vs STAT3:Y705 (CXCL8 dropped, A19 sensitivity)","sensitivity","pearson",114,0.3501,0.1776,0.5017,0.000134564578842695,""
"score_139 vs STAT3:Y705 (CXCL8 dropped, A19 sensitivity)","sensitivity","spearman",114,0.3707,0.1944,0.5238,4.90184525263892e-05,""
"score_143 vs STAT3:Y705","sensitivity","pearson",114,0.3445,0.1714,0.4969,0.000174937729979471,""
"score_143 vs STAT3:Y705","sensitivity","spearman",114,0.3628,0.1858,0.5169,7.29040131656129e-05,""
"score_140 vs STAT3 mRNA (S1C)","secondary","pearson",255,0.5409,0.4478,0.6224,8.80581080203434e-21,""
"score_140 vs STAT3 mRNA (S1C)","secondary","spearman",255,0.5365,0.4359,0.6239,2.07511126977801e-20,""
"score_140 vs ESTIMATE stromal","secondary","pearson",255,0.527,0.4321,0.6103,1.26116331313277e-19,""
"score_140 vs ESTIMATE stromal","secondary","spearman",255,0.5274,0.4258,0.6159,1.16207014337913e-19,""
"ESTIMATE stromal vs STAT3:Y705","secondary","pearson",114,0.0853,-0.1001,0.2651,0.366592138183701,""
"ESTIMATE stromal vs STAT3:Y705","secondary","spearman",114,0.1372,-0.0488,0.314,0.145375421768342,""
