"gene","n","r","ci_lo","ci_hi","p","p_adj_BH"
"OSMR",114,0.3826,0.213752001923759,0.529293218018529,2.65363187959152e-05,0.00306581896062212
"TYK2",114,0.3729,0.202946187721825,0.52111302251643,4.37974137231732e-05,0.00306581896062212
"ETV6",114,0.3456,0.172643820851458,0.497857488775347,0.000165953070631728,0.00647912606700914
"BCL6",114,0.3432,0.170046311559543,0.495842028397904,0.000185117887628832,0.00647912606700914
"DNMT1",114,0.3166,0.140895085928664,0.472979690076715,0.00059937375333226,0.0167824650933033
"REG1A",114,0.309,0.132639519594515,0.466422835909857,0.000821949988633244,0.0175993531056551
"IKBKE",114,0.3064,0.129770050718672,0.464135182426981,0.00091573001985869,0.0175993531056551
"GRB2",114,0.2994,0.122246921984735,0.458116195185569,0.00121051185534862,0.0175993531056551
"JAK2",114,0.2983,0.120994942773333,0.457111532967127,0.00126731563810081,0.0175993531056551
"STAT3",114,0.2961,0.118657138740396,0.455233241637633,0.00138000215837854,0.0175993531056551
"ACVRL1",114,0.2953,0.117730267222248,0.454487723363463,0.00142717612542507,0.0175993531056551
"ICAM1",114,0.2936,0.11594436357769,0.453049921096679,0.0015222762692698,0.0175993531056551
"PTPN6",114,0.2918,0.11396894368505,0.451457496950137,0.00163422564552512,0.0175993531056551
"IRF1",114,0.2877,0.109587270177723,0.447917655980911,0.00191000216832801,0.0191000216832801
"PTPN1",114,0.2836,0.105118719781432,0.44429667175245,0.00223459104141051,0.0208561830531648
"PRDM1",114,0.2783,0.0994436296992786,0.439681966877484,0.0027193386053921,0.0225291505749546
"SOCS3",114,0.2781,0.0992688826690774,0.439539585503871,0.00273568256981592,0.0225291505749546
"PIK3R5",114,0.2654,0.0856791662956902,0.428414257032072,0.00431775340168296,0.0326527008559284
"MAP3K8",114,0.2647,0.0848878445689,0.427763217728205,0.00443143797330457,0.0326527008559284
"POU2F1",114,0.2626,0.0827239006180152,0.425981070865485,0.00475628413410031,0.0329067167438819
"LTBP1",114,0.2616,0.0815834746580062,0.425040783756965,0.00493600751158229,0.0329067167438819
"ESR2",114,0.2586,0.0783877873727781,0.422401968363944,0.00547277137964753,0.0348267269613934
"MMP7",114,0.2448,0.0637334488702095,0.410226108593606,0.00867051480826981,0.0527770466590336
"JUN",114,0.2338,0.0521524327340726,0.40051559974248,0.0122846423593982,0.0669023940894036
"MUC1",114,0.2322,0.0504748124263313,0.399102421553476,0.0129063263067766,0.0669023940894036
"TLR2",114,0.2311,0.0492427404126061,0.39806350424231,0.0133804788178807,0.0669023940894036
"IL6",114,0.2244,0.0422634658637208,0.392161447285855,0.0163683406505898,0.0757230356282721
"CD44",114,0.2244,0.0421754678376523,0.392086846981006,0.01640948812858,0.0757230356282721
"TNFRSF10B",114,0.2236,0.041418442288939,0.391444888610411,0.0167672436034031,0.0757230356282721
"IL15RA",114,0.2215,0.0391622006106365,0.389529570500216,0.0178744774783445,0.0760437922548339
"VEGFA",114,0.2211,0.0387947918267463,0.389217390889259,0.018060727128017,0.0760437922548339
