"gene","qualifying","f30_lineage","f30_malignant","delta_f30","dominant_lineage","dominant_malignant","evaluable_lineage","evaluable_malig","call_changed"
"MYC",TRUE,0.327426599744924,0.438381418040813,0.110954818295889,FALSE,FALSE,TRUE,TRUE,FALSE
"IL6",TRUE,0.0182233762524951,0.0281158349996764,0.00989245874718131,FALSE,FALSE,TRUE,TRUE,FALSE
"SOCS3",TRUE,0.0570576285857309,0.0884277556408571,0.0313701270551262,FALSE,FALSE,TRUE,TRUE,FALSE
"ACVR1B",TRUE,0.552955787368786,0.595244250566711,0.0422884631979253,TRUE,TRUE,TRUE,TRUE,FALSE
"ACVRL1",TRUE,0.124068167613141,0.185780352221236,0.0617121846080951,FALSE,FALSE,TRUE,TRUE,FALSE
"BAK1",TRUE,0.380766128003533,0.474540675831352,0.0937745478278192,FALSE,FALSE,TRUE,TRUE,FALSE
"CBL",TRUE,0.251535694182717,0.336293450461647,0.0847577562789305,FALSE,FALSE,TRUE,TRUE,FALSE
"CCL7",TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"CCR1",TRUE,0.0242436651100211,0.0344242571129327,0.0101805920029115,FALSE,FALSE,TRUE,TRUE,FALSE
"CD14",TRUE,0.372316010715276,0.494611793047524,0.122295782332248,FALSE,FALSE,TRUE,TRUE,FALSE
"CD36",TRUE,0.111516583819565,0.170052549528412,0.0585359657088474,FALSE,FALSE,TRUE,TRUE,FALSE
"CD38",TRUE,0.00791927486625725,0.0113640747222917,0.00344479985603442,FALSE,FALSE,TRUE,TRUE,FALSE
"CD44",TRUE,0.328383652237025,0.435092752638946,0.106709100401921,FALSE,FALSE,TRUE,TRUE,FALSE
"CD9",TRUE,0.280921626510051,0.38778288006087,0.106861253550819,FALSE,FALSE,TRUE,TRUE,FALSE
"CNTFR",TRUE,0.587403794863979,0.599577868234585,0.0121740733706054,NA,NA,FALSE,FALSE,FALSE
"CRLF2",TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"CSF1",TRUE,0.329666544711834,0.363721253194413,0.034054708482579,FALSE,FALSE,TRUE,TRUE,FALSE
"CSF2",TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"CSF2RA",TRUE,0.181208646914806,0.266494644624279,0.0852859977094732,FALSE,FALSE,TRUE,TRUE,FALSE
"CSF2RB",TRUE,0.00887448279673135,0.01061509922462,0.00174061642788864,FALSE,FALSE,TRUE,TRUE,FALSE
"CSF3R",TRUE,0.0494355054958401,0.0507626523709235,0.00132714687508338,FALSE,FALSE,TRUE,TRUE,FALSE
"CXCL1",TRUE,0.940251126478847,0.882516097105176,-0.057735029373671,TRUE,TRUE,TRUE,TRUE,FALSE
"CXCL10",TRUE,0.189073189348875,0.276408491491642,0.087335302142767,FALSE,FALSE,TRUE,TRUE,FALSE
"CXCL11",TRUE,0.170174484865377,0.200135872983922,0.0299613881185452,FALSE,FALSE,TRUE,TRUE,FALSE
"CXCL13",TRUE,0.0166057433223699,0.0285396483674202,0.0119339050450503,FALSE,FALSE,TRUE,TRUE,FALSE
"CXCL3",TRUE,0.409649830146529,0.463824262158457,0.0541744320119281,FALSE,FALSE,TRUE,TRUE,FALSE
"CXCL9",TRUE,0.0616451101972399,0.0816733646100735,0.0200282544128336,FALSE,FALSE,TRUE,TRUE,FALSE
"DNTT",TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"EBI3",TRUE,0.0884148046194542,0.138827054909469,0.0504122502900146,FALSE,FALSE,TRUE,TRUE,FALSE
"FAS",TRUE,0.248466441390267,0.342887238676448,0.094420797286181,FALSE,FALSE,TRUE,TRUE,FALSE
"GRB2",TRUE,0.260969966523765,0.355935678394104,0.0949657118703387,FALSE,FALSE,TRUE,TRUE,FALSE
"HAX1",TRUE,0.495090501815339,0.600660531328589,0.10557002951325,FALSE,TRUE,TRUE,TRUE,TRUE
"IFNGR1",TRUE,0.388563529302822,0.50691467997826,0.118351150675438,FALSE,TRUE,TRUE,TRUE,TRUE
"IFNGR2",TRUE,0.440527847094335,0.542783354669098,0.102255507574763,FALSE,TRUE,TRUE,TRUE,TRUE
"IL10RB",TRUE,0.344499707096938,0.442107041444772,0.0976073343478341,FALSE,FALSE,TRUE,TRUE,FALSE
"IL12RB1",TRUE,0.0246210070514104,0.0306382650899426,0.00601725803853218,FALSE,FALSE,TRUE,TRUE,FALSE
"IL13RA1",TRUE,0.50508380119492,0.579030571496793,0.0739467703018732,TRUE,TRUE,TRUE,TRUE,FALSE
"IL15RA",TRUE,0.449250630066343,0.558960741353245,0.109710111286902,FALSE,TRUE,TRUE,TRUE,TRUE
"IL17RA",TRUE,0.271145602040143,0.318866758792429,0.0477211567522859,FALSE,FALSE,TRUE,TRUE,FALSE
"IL17RB",TRUE,0.859256782176148,0.857213937363649,-0.0020428448124995,TRUE,TRUE,TRUE,TRUE,FALSE
"IL18R1",TRUE,0.169658689005396,0.237916296465344,0.0682576074599474,FALSE,FALSE,TRUE,TRUE,FALSE
"IL1B",TRUE,0.0166826535946363,0.0274669058267648,0.0107842522321285,FALSE,FALSE,TRUE,TRUE,FALSE
"IL1R1",TRUE,0.427738751609694,0.50208530749374,0.0743465558840454,FALSE,TRUE,TRUE,TRUE,TRUE
"IL1R2",TRUE,0.72757790538149,0.786590189873418,0.0590122844919277,TRUE,TRUE,TRUE,TRUE,FALSE
"IL2RA",TRUE,0.0290771032664354,0.0357009985267964,0.006623895260361,FALSE,FALSE,TRUE,TRUE,FALSE
"IL2RG",TRUE,0.161587384588575,0.223870119635365,0.0622827350467909,FALSE,FALSE,TRUE,TRUE,FALSE
"IL3RA",TRUE,0.0139817889398309,0.0232835890800728,0.00930180014024196,FALSE,FALSE,TRUE,TRUE,FALSE
"IL4R",TRUE,0.275667370515126,0.32038193991893,0.0447145694038047,FALSE,FALSE,TRUE,TRUE,FALSE
"IL6ST",TRUE,0.337419508045397,0.416939133537587,0.0795196254921899,FALSE,FALSE,TRUE,TRUE,FALSE
"IL7",TRUE,0.447180128576252,0.544279285812041,0.0970991572357887,FALSE,TRUE,TRUE,TRUE,TRUE
"IL9R",TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"INHBE",TRUE,0.994563518947987,0.960463955765957,-0.0340995631820299,TRUE,TRUE,TRUE,TRUE,FALSE
"IRF9",TRUE,0.142781576694846,0.180391033067804,0.0376094563729581,FALSE,FALSE,TRUE,TRUE,FALSE
"ITGA4",TRUE,0.0107306678582671,0.0168012200634534,0.00607055220518637,FALSE,FALSE,TRUE,TRUE,FALSE
"ITGB3",TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"JUN",TRUE,0.184530424612641,0.256684858411323,0.0721544337986821,FALSE,FALSE,TRUE,TRUE,FALSE
"LEPR",TRUE,0.714508728700812,0.760459106880101,0.0459503781792889,TRUE,TRUE,TRUE,TRUE,FALSE
"LTB",TRUE,0.0822947735052145,0.124067154133598,0.041772380628383,FALSE,FALSE,TRUE,TRUE,FALSE
"LTBR",TRUE,0.560216070244543,0.615950713236796,0.0557346429922528,TRUE,TRUE,TRUE,TRUE,FALSE
"MAP3K8",TRUE,0.332292861904637,0.453186855855019,0.120893993950382,FALSE,FALSE,TRUE,TRUE,FALSE
"OSMR",TRUE,0.61512823530248,0.672584293311377,0.0574560580088972,TRUE,TRUE,TRUE,TRUE,FALSE
"PDGFC",TRUE,0.696545313728775,0.657810328063551,-0.0387349856652239,TRUE,TRUE,TRUE,TRUE,FALSE
"PF4",TRUE,0.918030056907381,0.922951961011836,0.00492190410445448,TRUE,TRUE,TRUE,TRUE,FALSE
"PIK3R5",TRUE,0.0365761219631107,0.0430928929774946,0.0065167710143839,FALSE,FALSE,TRUE,TRUE,FALSE
