"gene","qualifying","frac_epithelial","frac_stromal_six_amdt4","frac_endothelial_six_amdt4","frac_stromal_five_pilot"
"MYC",TRUE,0.339028776978417,0.26378896882494,0.261390887290168,0.525179856115108
"IL6",TRUE,0.0191815856777494,0.424552429667519,0.441176470588235,0.865728900255754
"SOCS3",TRUE,0.0599331423113658,0.144778732887615,0.528096147723655,0.67287488061127
"ACVR1B",TRUE,0.565826330532213,0.137254901960784,0.207282913165266,0.34453781512605
"ACVRL1",TRUE,0.129855715871254,0.0810210876803552,0.732519422863485,0.81354051054384
"BAK1",TRUE,0.393153526970954,0.0809128630705394,0.0902489626556017,0.171161825726141
"CBL",TRUE,0.261494252873563,0.109195402298851,0.270114942528736,0.379310344827586
"CCL7",TRUE,NA,NA,NA,NA
"CCR1",TRUE,0.0255102040816327,0.0102040816326531,0,0.0102040816326531
"CD14",TRUE,0.384599244649601,0.0188837599664289,0.0442719261435166,0.0631556861099454
"CD36",TRUE,0.116796695731987,0.434603028912345,0.346718678292795,0.78132170720514
"CD38",TRUE,0.00834028356964137,0.0108423686405338,0.00250208507089241,0.0133444537114262
"CD44",TRUE,0.340002598414967,0.0732753020657399,0.0101338183707938,0.0834091204365337
"CD9",TRUE,0.291590354090354,0.174145299145299,0.403006715506716,0.577152014652015
"CNTFR",TRUE,0.6,0.4,0,0.4
"CRLF2",TRUE,NA,NA,NA,NA
"CSF1",TRUE,0.341307814992026,0.212121212121212,0.130781499202552,0.342902711323764
"CSF2",TRUE,NA,NA,NA,NA
"CSF2RA",TRUE,0.189086294416244,0.00888324873096447,0.0304568527918782,0.0393401015228426
"CSF2RB",TRUE,0.00934579439252336,0.00623052959501558,0.274143302180685,0.280373831775701
"CSF3R",TRUE,0.051948051948052,0.0173160173160173,0.0173160173160173,0.0346320346320346
"CXCL1",TRUE,0.943118334179787,0.0199762993059082,0.01066531234129,0.0306416116471982
"CXCL10",TRUE,0.197210383572259,0.108872530027121,0.0166602092212321,0.125532739248353
"CXCL11",TRUE,0.177676537585421,0.0592255125284738,0.218678815489749,0.277904328018223
"CXCL13",TRUE,0.0174804098854732,0,0.00120554550934298,0.00120554550934298
"CXCL3",TRUE,0.42233601560595,0.0182882223847842,0.120214581809315,0.138502804194099
"CXCL9",TRUE,0.0647359454855196,0.145655877342419,0.11839863713799,0.264054514480409
"DNTT",TRUE,NA,NA,NA,NA
"EBI3",TRUE,0.0927152317880795,0.0132450331125828,0.00662251655629139,0.0198675496688742
"FAS",TRUE,0.258345428156749,0.307692307692308,0.0653120464441219,0.37300435413643
"GRB2",TRUE,0.271166715158568,0.0526622054116963,0.0974687227233052,0.150130928135001
"HAX1",TRUE,0.508145131432803,0.0807108478341355,0.0997778600518327,0.180488707885968
"IFNGR1",TRUE,0.401040312093628,0.0793237971391417,0.193498049414824,0.272821846553966
"IFNGR2",TRUE,0.453435804701627,0.0958408679927667,0.114828209764919,0.210669077757685
"IL10RB",TRUE,0.356386292834891,0.0809968847352025,0.1601246105919,0.241121495327103
"IL12RB1",TRUE,0.0259067357512953,0.0440414507772021,0.0129533678756477,0.0569948186528497
"IL13RA1",TRUE,0.518131530424093,0.0872771972956361,0.161032575291948,0.248309772587585
"IL15RA",TRUE,0.462203023758099,0.116630669546436,0.23110151187905,0.347732181425486
"IL17RA",TRUE,0.28158844765343,0.106498194945848,0.149819494584838,0.256317689530686
"IL17RB",TRUE,0.865454545454545,0.00727272727272727,0.00363636363636364,0.0109090909090909
"IL18R1",TRUE,0.177142857142857,0.0571428571428571,0.00571428571428571,0.0628571428571429
"IL1B",TRUE,0.0175612988734261,0.00198807157057654,0.0102717031146455,0.012259774685222
"IL1R1",TRUE,0.440567066521265,0.264994547437296,0.208287895310796,0.473282442748092
"IL1R2",TRUE,0.73780487804878,0.016260162601626,0.00813008130081301,0.024390243902439
"IL2RA",TRUE,0.0305882352941176,0.00705882352941176,0.00941176470588235,0.0164705882352941
"IL2RG",TRUE,0.168787878787879,0.00484848484848485,0.00454545454545455,0.00939393939393939
"IL3RA",TRUE,0.014720314033366,0.0117762512266928,0.855740922473013,0.867517173699706
"IL4R",TRUE,0.286215978928885,0.0939420544337138,0.226514486391572,0.320456540825285
"IL6ST",TRUE,0.349191937534048,0.120210641002361,0.41674232794625,0.536952968948611
"IL7",TRUE,0.460122699386503,0.214723926380368,0.0306748466257669,0.245398773006135
"IL9R",TRUE,NA,NA,NA,NA
"INHBE",TRUE,0.994838709677419,0,0,0
"IRF9",TRUE,0.149293286219081,0.0795053003533569,0.290636042402827,0.370141342756184
"ITGA4",TRUE,0.0112994350282486,0.077683615819209,0.0169491525423729,0.0946327683615819
"ITGB3",TRUE,NA,NA,NA,NA
"JUN",TRUE,0.192518525367535,0.239013565456299,0.27121666424505,0.510230229701349
"LEPR",TRUE,0.725040916530278,0.027823240589198,0.196399345335516,0.224222585924714
"LTB",TRUE,0.0863257163583605,0.00616612259702575,0.0103373231773667,0.0165034457743925
"LTBR",TRUE,0.573038985439173,0.137623297322687,0.192108971348051,0.329732268670737
"MAP3K8",TRUE,0.343979283556323,0.054380664652568,0.115235217954251,0.169615882606819
"OSMR",TRUE,0.627414903403864,0.176632934682613,0.176632934682613,0.353265869365225
"PDGFC",TRUE,0.70746887966805,0.188796680497925,0.020746887966805,0.20954356846473
"PF4",TRUE,0.921875,0.015625,0.0625,0.078125
"PIK3R5",TRUE,0.0384615384615385,0,0.0128205128205128,0.0128205128205128
"PLA2G2A",TRUE,0.847303443794672,0.0630279402209227,0.00779727095516569,0.0708252111760884
"PTPN1",TRUE,0.26054303870595,0.073367995378394,0.111496244945118,0.184864240323512
"PTPN11",TRUE,0.602873563218391,0.0758620689655172,0.159770114942529,0.235632183908046
"PTPN2",TRUE,0.325055432372506,0.0842572062084257,0.0966740576496674,0.180931263858093
"REG1A",TRUE,0.977885548011639,0.00252182347235694,0.0017458777885548,0.00426770126091174
"SOCS1",TRUE,0.114928169893816,0.0537164272329794,0.0362273579013117,0.0899437851342911
"STAM2",TRUE,0.535135135135135,0.0918918918918919,0.14954954954955,0.241441441441441
"STAT2",TRUE,0.430485762144054,0.134003350083752,0.149916247906198,0.28391959798995
"STAT3",TRUE,0.209789057350033,0.130191166776533,0.365029663810152,0.495220830586684
"TGFB1",TRUE,0.236598890942699,0.119839802834258,0.238139248305607,0.357979051139864
"TLR2",TRUE,0.14,0,0,0
"TNF",TRUE,0.029445073612684,0.00566251415628539,0.0158550396375991,0.0215175537938845
"TNFRSF12A",TRUE,0.862310677181124,0.0891225434973088,0.0199023657529103,0.109024909250219
"TNFRSF1A",TRUE,0.346330275229358,0.200688073394495,0.326834862385321,0.527522935779817
"TNFRSF1B",TRUE,0.0632250580046404,0.052784222737819,0.220997679814385,0.273781902552204
"TNFRSF21",TRUE,0.664290805416964,0.198146828225232,0.0555951532430506,0.253741981468282
"ABCA1",TRUE,0.458057395143488,0.124724061810155,0.0949227373068433,0.219646799116998
"AKAP12",TRUE,0.340227088402271,0.236415247364152,0.403487429034874,0.639902676399027
"BCL2L1",TRUE,0.631473303894018,0.0847049377759936,0.135688478522682,0.220393416298675
"BCL6",TRUE,0.255813953488372,0.116279069767442,0.331395348837209,0.447674418604651
"CCND1",TRUE,0.456212121212121,0.164393939393939,0.335,0.499393939393939
"CCND3",TRUE,0.220962199312715,0.0652920962199313,0.160137457044674,0.225429553264605
"CDK4",TRUE,0.618535048569178,0.102914150695721,0.110265161459701,0.213179312155421
"CDKN1A",TRUE,0.218433832456495,0.124848239579118,0.394273573452044,0.519121813031161
"CDKN1B",TRUE,0.207766011094302,0.13464447806354,0.196167423096319,0.330811901159859
"CFLAR",TRUE,0.37359128474831,0.0576634109691961,0.175995492111195,0.233658903080391
"CISH",TRUE,0.315136476426799,0.161290322580645,0.0992555831265509,0.260545905707196
"COPS5",TRUE,0.522851919561243,0.103290676416819,0.147166361974406,0.250457038391225
"CXCL8",TRUE,0.599951641177537,0.0048358822462673,0.0272018376352536,0.0320377198815209
"DDIT3",TRUE,0.596046325878594,0.0802715654952077,0.132188498402556,0.212460063897764
