"analysis","k","cohorts","n_total","est","se_hksj","ci_lo","ci_hi","p","HR","HR_lo","HR_hi","ci_lo_wald","ci_hi_wald","fe_est","fe_ci_lo","fe_ci_hi","tau2","I2","Q","Q_df","Q_p","pi_lo","pi_hi"
"M1",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.121174,0.047054,0.000219,0.24213,0.04972,1.1288,1.0002,1.274,0.0296,0.212748,0.122397,0.04004,0.204755,0.002212,16.83,6.0779,5,0.2987,-0.049837,0.292186
"M2",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.122869,0.047778,5.1e-05,0.245687,0.04994,1.1307,1.0001,1.2785,0.029952,0.215786,0.123111,0.038998,0.207224,0.002178,16.09,6.0369,5,0.3026,-0.048824,0.294562
"M3",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.157205,0.077243,-0.041353,0.355764,0.09746,1.1702,0.9595,1.4273,0.005949,0.308461,0.1439,0.045494,0.242307,0.018588,53.99,10.9672,5,0.05204,-0.245597,0.560008
"M4",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.152248,0.08333,-0.061959,0.366454,0.1273,1.1644,0.9399,1.4426,-0.014222,0.318717,0.145752,0.042985,0.248518,0.023679,57.45,11.9518,5,0.03545,-0.297589,0.602084
"attenuation_total",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,-0.024766,0.039101,-0.125279,0.075747,0.5543,0.9755,0.8823,1.0787,-0.116342,0.06681,-0.008059,-0.066717,0.050599,0.005195,44.35,8.5395,5,0.1289,-0.235553,0.186022
"attenuation_purity",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,-0.022711,0.033177,-0.107995,0.062573,0.5241,0.9775,0.8976,1.0646,-0.096285,0.050863,-0.005177,-0.057362,0.047007,0.003006,37.86,7.5615,5,0.1821,-0.187451,0.142029
"attenuation_stroma",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.001124,0.010256,-0.025239,0.027487,0.917,1.0011,0.9751,1.0279,-0.022889,0.025137,0.001124,-0.022889,0.025137,0,0,3.5036,5,0.6229,-0.025239,0.027487
"drop_lowEPV_M1",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.133444,0.049729,-0.004626,0.271513,0.05503,1.1428,0.9954,1.3119,0.037404,0.229484,0.133058,0.047959,0.218157,0.002437,20.25,5.127,4,0.2745,-0.061102,0.327989
"drop_lowEPV_M2",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.138181,0.049094,0.001875,0.274487,0.04809,1.1482,1.0019,1.3159,0.040922,0.235439,0.136615,0.049203,0.224028,0.002232,18.05,4.799,4,0.3086,-0.050984,0.327345
"drop_lowEPV_M3",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.176803,0.088029,-0.067605,0.42121,0.115,1.1934,0.9346,1.5238,0.006378,0.347228,0.15372,0.051592,0.255848,0.022781,61.73,10.4707,4,0.0332,-0.30832,0.661925
"drop_lowEPV_M4",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.172278,0.093439,-0.087151,0.431707,0.139,1.188,0.9165,1.5399,-0.011063,0.355618,0.155683,0.049919,0.261447,0.027296,64.07,11.3456,4,0.02294,-0.354713,0.699269
"attenuation_total_drop_lowEPV",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,-0.025414,0.044899,-0.150074,0.099246,0.6016,0.9749,0.8606,1.1043,-0.122419,0.07159,-0.007677,-0.06705,0.051697,0.005822,51.6,8.5329,4,0.0739,-0.271219,0.22039
