"analysis","k","cohorts","n_total","est","se_hksj","ci_lo","ci_hi","p","HR","HR_lo","HR_hi","ci_lo_wald","ci_hi_wald","fe_est","fe_ci_lo","fe_ci_hi","tau2","I2","Q","Q_df","Q_p","pi_lo","pi_hi"
"LOCO_M1_minus_COAD",5,"READ+STAD+ESCA+PAAD+LIHC",1300,0.151411,0.047814,0.018658,0.284164,0.03397,1.1635,1.0188,1.3287,0.05941,0.243412,0.151414,0.059427,0.2434,3e-06,0.03,4.1513,4,0.3859,0.018573,0.284249
"LOCO_M1_minus_READ",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.133444,0.049729,-0.004626,0.271513,0.05503,1.1428,0.9954,1.3119,0.037404,0.229484,0.133058,0.047959,0.218157,0.002437,20.25,5.127,4,0.2745,-0.061102,0.327989
"LOCO_M1_minus_STAD",5,"COAD+READ+ESCA+PAAD+LIHC",1352,0.121086,0.060668,-0.047355,0.289528,0.1167,1.1287,0.9537,1.3358,-0.000124,0.242296,0.125548,0.030224,0.220871,0.006616,35.01,6.0614,4,0.1946,-0.160648,0.40282
"LOCO_M1_minus_ESCA",5,"COAD+READ+STAD+PAAD+LIHC",1571,0.131527,0.055489,-0.022534,0.285588,0.07679,1.1406,0.9777,1.3305,0.025221,0.237832,0.13277,0.044372,0.221168,0.004025,27.53,5.6772,4,0.2246,-0.102479,0.365532
"LOCO_M1_minus_PAAD",5,"COAD+READ+STAD+ESCA+LIHC",1577,0.097889,0.045771,-0.029191,0.224969,0.09923,1.1028,0.9712,1.2523,0.003255,0.192523,0.099924,0.011779,0.188068,0.001351,11.38,4.1117,4,0.3911,-0.0651,0.260877
"LOCO_M1_minus_LIHC",5,"COAD+READ+STAD+ESCA+PAAD",1385,0.090137,0.048081,-0.043357,0.22363,0.1341,1.0943,0.9576,1.2506,-0.003456,0.183729,0.090137,-0.003455,0.183728,0,0,4.0553,4,0.3986,-0.043362,0.223635
"LOCO_M2_minus_COAD",5,"READ+STAD+ESCA+PAAD+LIHC",1300,0.151111,0.049204,0.014498,0.287725,0.03725,1.1631,1.0146,1.3334,0.056544,0.245678,0.151143,0.05761,0.244676,0.000217,1.79,4.2331,4,0.3754,0.008503,0.29372
"LOCO_M2_minus_READ",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.138181,0.049094,0.001875,0.274487,0.04809,1.1482,1.0019,1.3159,0.040922,0.235439,0.136615,0.049203,0.224028,0.002232,18.05,4.799,4,0.3086,-0.050984,0.327345
"LOCO_M2_minus_STAD",5,"COAD+READ+ESCA+PAAD+LIHC",1352,0.135932,0.059701,-0.029825,0.301689,0.08508,1.1456,0.9706,1.3521,0.018477,0.253387,0.139139,0.041887,0.236391,0.00517,28.92,5.6228,4,0.2291,-0.123547,0.395411
"LOCO_M2_minus_ESCA",5,"COAD+READ+STAD+PAAD+LIHC",1571,0.118367,0.058244,-0.043344,0.280078,0.1119,1.1257,0.9576,1.3232,0.006867,0.229867,0.119566,0.029292,0.209839,0.00504,31.43,5.992,4,0.1997,-0.13659,0.373324
"LOCO_M2_minus_PAAD",5,"COAD+READ+STAD+ESCA+LIHC",1577,0.100081,0.047413,-0.031558,0.231719,0.1024,1.1053,0.9689,1.2608,0.004037,0.196124,0.101251,0.011304,0.191198,0.001312,10.74,4.2294,4,0.3759,-0.065579,0.26574
"LOCO_M2_minus_LIHC",5,"COAD+READ+STAD+ESCA+PAAD",1385,0.090878,0.04935,-0.046138,0.227894,0.1394,1.0951,0.9549,1.256,-0.004689,0.186445,0.090878,-0.004688,0.186444,0,0,4.0974,4,0.393,-0.046147,0.227903
"LOCO_M3_minus_COAD",5,"READ+STAD+ESCA+PAAD+LIHC",1300,0.196439,0.083563,-0.03557,0.428447,0.07845,1.2171,0.9651,1.5349,0.030471,0.362406,0.179496,0.070909,0.288083,0.018064,52.28,8.6573,4,0.07026,-0.242968,0.635845
"LOCO_M3_minus_READ",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.176803,0.088029,-0.067605,0.42121,0.115,1.1934,0.9346,1.5238,0.006378,0.347228,0.15372,0.051592,0.255848,0.022781,61.73,10.4707,4,0.0332,-0.30832,0.661925
"LOCO_M3_minus_STAD",5,"COAD+READ+ESCA+PAAD+LIHC",1352,0.198122,0.087532,-0.044906,0.441149,0.08635,1.2191,0.9561,1.5545,0.026791,0.369452,0.199698,0.082277,0.31712,0.018611,49.81,8.0529,4,0.08966,-0.251908,0.648151
"LOCO_M3_minus_ESCA",5,"COAD+READ+STAD+PAAD+LIHC",1571,0.148887,0.094058,-0.112259,0.410034,0.1886,1.1605,0.8938,1.5069,-0.033816,0.331591,0.133385,0.027614,0.239157,0.026196,62.83,10.6847,4,0.03035,-0.370854,0.668628
"LOCO_M3_minus_PAAD",5,"COAD+READ+STAD+ESCA+LIHC",1577,0.114248,0.069623,-0.079056,0.307551,0.1762,1.121,0.924,1.3601,-0.030879,0.259374,0.113582,0.010533,0.216631,0.012275,45.88,7.1914,4,0.1261,-0.249056,0.477551
"LOCO_M3_minus_LIHC",5,"COAD+READ+STAD+ESCA+PAAD",1385,0.112469,0.083939,-0.120582,0.34552,0.2513,1.119,0.8864,1.4127,-0.044914,0.269852,0.090951,-0.021167,0.203068,0.013864,44.1,7.2358,4,0.1239,-0.289007,0.513945
"LOCO_M4_minus_COAD",5,"READ+STAD+ESCA+PAAD+LIHC",1300,0.197343,0.085824,-0.040942,0.435628,0.08299,1.2182,0.9599,1.5459,0.022594,0.372092,0.182515,0.071387,0.293644,0.020292,53.63,9.0489,4,0.05989,-0.264394,0.65908
"LOCO_M4_minus_READ",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.172278,0.093439,-0.087151,0.431707,0.139,1.188,0.9165,1.5399,-0.011063,0.355618,0.155683,0.049919,0.261447,0.027296,64.07,11.3456,4,0.02294,-0.354713,0.699269
"LOCO_M4_minus_STAD",5,"COAD+READ+ESCA+PAAD+LIHC",1352,0.193535,0.096278,-0.073775,0.460844,0.1148,1.2135,0.9289,1.5854,0.002185,0.384885,0.211784,0.086732,0.336837,0.024773,53.53,8.6528,4,0.07039,-0.318732,0.705801
"LOCO_M4_minus_ESCA",5,"COAD+READ+STAD+PAAD+LIHC",1571,0.141107,0.101607,-0.140999,0.423213,0.2372,1.1515,0.8685,1.5269,-0.06115,0.343364,0.13549,0.024556,0.246423,0.033002,65.39,11.7201,4,0.01956,-0.436804,0.719018
"LOCO_M4_minus_PAAD",5,"COAD+READ+STAD+ESCA+LIHC",1577,0.112661,0.083881,-0.12023,0.345553,0.2504,1.1193,0.8867,1.4128,-0.060888,0.28621,0.119008,0.011186,0.226829,0.021364,56.9,9.3708,4,0.05247,-0.355235,0.580557
"LOCO_M4_minus_LIHC",5,"COAD+READ+STAD+ESCA+PAAD",1385,0.092555,0.083503,-0.139288,0.324398,0.3298,1.097,0.87,1.3832,-0.06639,0.2515,0.076812,-0.041167,0.19479,0.012205,37.93,6.5148,4,0.1639,-0.291937,0.477048
"attenuation_total_LOCO_minus_COAD",5,"READ+STAD+ESCA+PAAD+LIHC",1300,-0.040349,0.041883,-0.156635,0.075937,0.3899,0.9605,0.855,1.0789,-0.142739,0.062041,-0.014488,-0.075349,0.046374,0.006121,50.51,7.9367,4,0.09392,-0.286739,0.206041
"attenuation_total_LOCO_minus_READ",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,-0.025414,0.044899,-0.150074,0.099246,0.6016,0.9749,0.8606,1.1043,-0.122419,0.07159,-0.007677,-0.06705,0.051697,0.005822,51.6,8.5329,4,0.0739,-0.271219,0.22039
"attenuation_total_LOCO_minus_STAD",5,"COAD+READ+ESCA+PAAD+LIHC",1352,-0.076268,0.034665,-0.172514,0.019977,0.09264,0.9266,0.8415,1.0202,-0.157276,0.004739,-0.076268,-0.157276,0.004739,0,0,2.8138,4,0.5895,-0.172514,0.019977
"attenuation_total_LOCO_minus_ESCA",5,"COAD+READ+STAD+PAAD+LIHC",1571,-0.017309,0.047826,-0.150095,0.115477,0.7357,0.9828,0.8606,1.1224,-0.129247,0.094629,0.001991,-0.061956,0.065938,0.007161,49.95,7.9411,4,0.09376,-0.28718,0.252562
"attenuation_total_LOCO_minus_PAAD",5,"COAD+READ+STAD+ESCA+LIHC",1577,-0.015984,0.042342,-0.133545,0.101578,0.725,0.9841,0.875,1.1069,-0.113269,0.081302,-0.003129,-0.06291,0.056651,0.005621,50.07,7.8372,4,0.09773,-0.255045,0.223078
"attenuation_total_LOCO_minus_LIHC",5,"COAD+READ+STAD+ESCA+PAAD",1385,0.018037,0.035184,-0.079649,0.115722,0.6352,1.0182,0.9234,1.1227,-0.065296,0.101369,0.02868,-0.03832,0.095681,0.001664,16.63,3.5933,4,0.4638,-0.13154,0.167614
