"config","cohort","n_realised_set","matched_on","med_abs_d_expr_sd","med_abs_d_var_sd","med_abs_d_strom_sd","p95_abs_d_expr_sd","paired_expr_sd","paired_var_sd","paired_strom_sd","widen_cell_median","widen_all_median"
"registered_152|registered","TCGA-COAD",152,"d_expr x d_var",0.0909,0.1224,1.0699,0.1574,0.3248,0.1522,1.5187,0,0
"registered_152|registered","TCGA-READ",152,"d_expr x d_var",0.0649,0.1732,1.0496,0.1278,0.3155,0.1558,1.3797,0,0
"registered_152|registered","TCGA-STAD",152,"d_expr x d_var",0.1558,0.1468,0.7214,0.2258,0.3563,0.2363,1.4923,0,0
"registered_152|registered","TCGA-ESCA",152,"d_expr x d_var",0.1856,0.1311,0.8294,0.2473,0.3148,0.1752,1.4187,0,0
"registered_152|registered","TCGA-PAAD",152,"d_expr x d_var",0.1764,0.1233,0.7583,0.2409,0.3342,0.2162,1.3713,0,0
"registered_152|registered","TCGA-LIHC",152,"d_expr x d_var",0.052,0.1428,1.0037,0.1334,0.3411,0.2673,1.5356,0,0
"registered_152|registered","TCGA-CHOL",152,"d_expr x d_var",0.1046,0.1603,0.7752,0.1639,0.2861,0.1885,1.2905,0,0
"tested_140|registered","TCGA-COAD",140,"d_expr x d_var",0.0839,0.1465,1.0469,0.154,0.3439,0.1645,1.5196,0,0
"tested_140|registered","TCGA-READ",140,"d_expr x d_var",0.0563,0.1974,1.0094,0.1237,0.3356,0.1687,1.3499,0,0
"tested_140|registered","TCGA-STAD",140,"d_expr x d_var",0.1521,0.1792,0.662,0.2243,0.3787,0.2644,1.5017,0,0
"tested_140|registered","TCGA-ESCA",140,"d_expr x d_var",0.1847,0.1466,0.793,0.2517,0.3357,0.2018,1.4238,0,0
"tested_140|registered","TCGA-PAAD",140,"d_expr x d_var",0.1825,0.1356,0.7306,0.2516,0.3513,0.2376,1.3871,0,0
"tested_140|registered","TCGA-LIHC",140,"d_expr x d_var",0.0453,0.1447,0.9753,0.126,0.364,0.3037,1.5612,0,0
"tested_140|registered","TCGA-CHOL",140,"d_expr x d_var",0.0916,0.1873,0.771,0.156,0.3041,0.205,1.3089,0,0
"tested_140|EXPLORATORY_POSTHOC","TCGA-COAD",140,"d_expr x d_var x d_strom",0.1089,0.1445,0.0463,0.1751,0.3398,0.1598,0.2614,0,0
"tested_140|EXPLORATORY_POSTHOC","TCGA-READ",140,"d_expr x d_var x d_strom",0.0784,0.1752,0.0391,0.1382,0.3292,0.1654,0.2036,0,0
"tested_140|EXPLORATORY_POSTHOC","TCGA-STAD",140,"d_expr x d_var x d_strom",0.1681,0.1595,0.0496,0.2381,0.3777,0.2637,0.2188,0,0
"tested_140|EXPLORATORY_POSTHOC","TCGA-ESCA",140,"d_expr x d_var x d_strom",0.1931,0.1898,0.0449,0.2597,0.3303,0.1903,0.2209,0,0
"tested_140|EXPLORATORY_POSTHOC","TCGA-PAAD",140,"d_expr x d_var x d_strom",0.1852,0.137,0.0486,0.2504,0.3444,0.233,0.2547,0,0
"tested_140|EXPLORATORY_POSTHOC","TCGA-LIHC",140,"d_expr x d_var x d_strom",0.0946,0.1252,0.1266,0.1797,0.3659,0.3041,0.2781,0,0
"tested_140|EXPLORATORY_POSTHOC","TCGA-CHOL",140,"d_expr x d_var x d_strom",0.1044,0.2159,0.0338,0.163,0.2995,0.1978,0.1771,0,0
