"config","role","cohort","model","observed_beta","null_median","null_q025","null_q975","percentile","n_null"
"registered_152|registered","primary_registered","TCGA-COAD","M1",0.005159,0.033496,-0.02868,0.097874,18.32,10000
"registered_152|registered","primary_registered","TCGA-COAD","M2",0.004596,0.02229,-0.03416,0.08047,26.97,10000
"registered_152|registered","primary_registered","TCGA-COAD","M4",-0.071333,-0.004853,-0.070797,0.065763,2.4,10000
"registered_152|registered","primary_registered","TCGA-READ","M1",-0.035099,0.039663,-0.048939,0.138471,4.92,10000
"registered_152|registered","primary_registered","TCGA-READ","M2",-0.045714,0.022361,-0.056969,0.110371,4.84,10000
"registered_152|registered","primary_registered","TCGA-READ","M4",-0.022076,0.030346,-0.05975,0.13002,12.68,10000
"registered_152|registered","primary_registered","TCGA-STAD","M1",0.113122,0.099449,0.043592,0.156138,67.86,10000
"registered_152|registered","primary_registered","TCGA-STAD","M2",0.075526,0.065367,0.007421,0.125012,62.74,10000
"registered_152|registered","primary_registered","TCGA-STAD","M4",0.008397,0.033873,-0.006536,0.075537,11.07,10000
"registered_152|registered","primary_registered","TCGA-ESCA","M1",0.054184,-0.02498,-0.079784,0.032426,99.75,10000
"registered_152|registered","primary_registered","TCGA-ESCA","M2",0.146456,0.107623,0.04085,0.182645,85.2,10000
"registered_152|registered","primary_registered","TCGA-ESCA","M4",0.207848,0.103045,0.027661,0.191161,98.89,10000
"registered_152|registered","primary_registered","TCGA-PAAD","M1",0.276873,0.215003,0.129639,0.295215,93.17,10000
"registered_152|registered","primary_registered","TCGA-PAAD","M2",0.275399,0.210664,0.134389,0.286793,95.13,10000
"registered_152|registered","primary_registered","TCGA-PAAD","M4",0.411072,0.168354,0.073084,0.261945,100,10000
"registered_152|registered","primary_registered","TCGA-LIHC","M1",0.233098,0.284737,0.212677,0.355266,7.66,10000
"registered_152|registered","primary_registered","TCGA-LIHC","M2",0.233928,0.269006,0.195802,0.338969,16.41,10000
"registered_152|registered","primary_registered","TCGA-LIHC","M4",0.362574,0.288065,0.210395,0.362116,97.56,10000
"registered_152|registered","primary_registered","TCGA-CHOL","M1",-0.160616,-0.071697,-0.146325,0.003184,0.99,10000
"tested_140|registered","size_sensitivity","TCGA-COAD","M1",0.005159,0.027768,-0.034723,0.090868,23.6,10000
"tested_140|registered","size_sensitivity","TCGA-COAD","M2",0.004596,0.018023,-0.03843,0.074649,32.32,10000
"tested_140|registered","size_sensitivity","TCGA-COAD","M4",-0.071333,-0.009668,-0.076102,0.058296,3.37,10000
"tested_140|registered","size_sensitivity","TCGA-READ","M1",-0.035099,0.035891,-0.047813,0.134111,4.9,10000
"tested_140|registered","size_sensitivity","TCGA-READ","M2",-0.045714,0.021608,-0.052743,0.107701,3.9,10000
"tested_140|registered","size_sensitivity","TCGA-READ","M4",-0.022076,0.029546,-0.054694,0.127404,12.03,10000
"tested_140|registered","size_sensitivity","TCGA-STAD","M1",0.113122,0.087507,0.031333,0.145855,80.44,10000
"tested_140|registered","size_sensitivity","TCGA-STAD","M2",0.075526,0.051818,-0.006341,0.113459,77.72,10000
"tested_140|registered","size_sensitivity","TCGA-STAD","M4",0.008397,0.020009,-0.019542,0.062625,28.77,10000
"tested_140|registered","size_sensitivity","TCGA-ESCA","M1",0.054184,-0.028281,-0.082148,0.029044,99.77,10000
"tested_140|registered","size_sensitivity","TCGA-ESCA","M2",0.146456,0.108579,0.039507,0.185917,83.92,10000
"tested_140|registered","size_sensitivity","TCGA-ESCA","M4",0.207848,0.104001,0.026791,0.194698,98.64,10000
"tested_140|registered","size_sensitivity","TCGA-PAAD","M1",0.276873,0.222568,0.135526,0.302766,90.95,10000
"tested_140|registered","size_sensitivity","TCGA-PAAD","M2",0.275399,0.217956,0.140037,0.293017,93.06,10000
"tested_140|registered","size_sensitivity","TCGA-PAAD","M4",0.411072,0.176981,0.079636,0.268738,100,10000
"tested_140|registered","size_sensitivity","TCGA-LIHC","M1",0.233098,0.280388,0.207019,0.352256,10.69,10000
"tested_140|registered","size_sensitivity","TCGA-LIHC","M2",0.233928,0.266287,0.191499,0.336838,19.3,10000
"tested_140|registered","size_sensitivity","TCGA-LIHC","M4",0.362574,0.285271,0.20503,0.359946,98.01,10000
"tested_140|registered","size_sensitivity","TCGA-CHOL","M1",-0.160616,-0.072538,-0.146152,0.001973,1.09,10000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-COAD","M1",0.005159,0.064201,0.023876,0.105623,0.2,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-COAD","M2",0.004596,0.049697,0.01147,0.085826,1.2,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-COAD","M4",-0.071333,0.011763,-0.06056,0.085229,1.6,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-READ","M1",-0.035099,0.023408,-0.035665,0.092211,2.6,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-READ","M2",-0.045714,0.000278,-0.048638,0.054693,3.7,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-READ","M4",-0.022076,0.055242,-0.042003,0.173845,7.6,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-STAD","M1",0.113122,0.175014,0.136798,0.217031,0.2,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-STAD","M2",0.075526,0.156107,0.114478,0.199742,0,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-STAD","M4",0.008397,0.049294,0.007705,0.100123,2.9,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-ESCA","M1",0.054184,-0.016454,-0.063576,0.032769,99.9,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-ESCA","M2",0.146456,0.112848,0.061368,0.170913,87.5,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-ESCA","M4",0.207848,0.16055,0.081794,0.252214,85.2,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-PAAD","M1",0.276873,0.210705,0.154793,0.267704,98.8,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-PAAD","M2",0.275399,0.213654,0.161393,0.268848,98.6,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-PAAD","M4",0.411072,0.228585,0.133323,0.328812,100,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-LIHC","M1",0.233098,0.196228,0.143356,0.241601,93.6,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-LIHC","M2",0.233928,0.190672,0.138955,0.234429,97.3,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-LIHC","M4",0.362574,0.340168,0.274394,0.399272,75,1000
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","TCGA-CHOL","M1",-0.160616,-0.130739,-0.183719,-0.078205,12.8,1000
