"gene","atlas","tissue","f_at_0.30","f_at_0.50","f_at_0.70","ci_lo_0.30","ci_hi_0.30","evaluable","dominant","dominant_50","dom_rate","dom_rate_lo","dom_rate_hi","dom_n_eval","dom50_rate","origin_six","in_panel","qualifying","non_qualifying_reason"
"MYC","GSE125449","liver_biliary",0.327426599744924,0.531819568673422,0.726064937627431,0.12924412836675,0.66480004141111,TRUE,FALSE,TRUE,0.16,0,1,2000,0.5905,TRUE,TRUE,TRUE,""
"IL6","GSE125449","liver_biliary",0.0182233762524951,0.041512546256318,0.0917824439955636,0,0.101045110438252,TRUE,FALSE,FALSE,0,0,0,2000,5e-04,TRUE,TRUE,TRUE,""
"SOCS3","GSE125449","liver_biliary",0.0570576285857309,0.123722081903873,0.247806079090946,0.0228379475623862,0.171107469008546,TRUE,FALSE,FALSE,0,0,0,2000,5e-04,TRUE,TRUE,TRUE,""
"BCL2","GSE125449","liver_biliary",0.218496731477674,0.394806990729369,0.603518531395591,0.0886577696975687,0.366106117326634,TRUE,FALSE,FALSE,0,0,0,2000,0.1385,TRUE,FALSE,FALSE,"no ChIP-seq evidence in any group (fails Criterion B)"
"MMP9","GSE125449","liver_biliary",0.0870755528938867,0.182041175420182,0.341800411169281,0.00834811099345218,0.310536195073377,TRUE,FALSE,FALSE,0.0025,0,0,2000,0.0295,TRUE,FALSE,FALSE,"mouse ChIP-seq only (excluded by Amendment 2, human-only)"
"HGF","GSE125449","liver_biliary",0.104447339704931,0.21391937921739,0.388371602129606,0.00979939502555767,0.34102264746287,TRUE,FALSE,FALSE,0.004,0,0,2000,0.043,TRUE,FALSE,FALSE,"mouse ChIP-seq only (excluded by Amendment 2, human-only)"
"MYC","GSE178341","colorectal",0.882567804706458,0.946051768131007,0.976143903940897,0.850884909146337,0.906455850146564,TRUE,TRUE,TRUE,1,1,1,2000,1,TRUE,TRUE,TRUE,""
"IL6","GSE178341","colorectal",0.0118930898429095,0.027317359223435,0.0615004644805183,0.00725476179646314,0.0187529304853425,TRUE,FALSE,FALSE,0,0,0,2000,0,TRUE,TRUE,TRUE,""
"SOCS3","GSE178341","colorectal",0.108901512083503,0.221885330814976,0.39953204006135,0.0857921383647196,0.1365735382692,TRUE,FALSE,FALSE,0,0,0,2000,0,TRUE,TRUE,TRUE,""
"BCL2","GSE178341","colorectal",0.183849578082199,0.344527394127631,0.550852306628562,0.146962660170673,0.221325166088952,TRUE,FALSE,FALSE,0,0,0,2000,0,TRUE,FALSE,FALSE,"no ChIP-seq evidence in any group (fails Criterion B)"
"MMP9","GSE178341","colorectal",0.0142462077572601,0.0326215077316074,0.0729441217323286,0.00900675026259574,0.0216107267143959,TRUE,FALSE,FALSE,0,0,0,2000,0,TRUE,FALSE,FALSE,"mouse ChIP-seq only (excluded by Amendment 2, human-only)"
"HGF","GSE178341","colorectal",0.0106901275320014,0.0245930931714575,0.0555619633449586,0.00745936761325582,0.0132390240005327,TRUE,FALSE,FALSE,0,0,0,2000,0,TRUE,FALSE,FALSE,"mouse ChIP-seq only (excluded by Amendment 2, human-only)"
"MYC","Peng","pancreatic",0.184746311911664,0.345875711650806,0.552327685479154,0.15270584232941,0.222803711413248,TRUE,FALSE,FALSE,0,0,0,2000,0,TRUE,TRUE,TRUE,""
"IL6","Peng","pancreatic",0.038118829445266,0.0846419969132945,0.177469496078632,0.0270221968536291,0.0619001062038114,TRUE,FALSE,FALSE,0,0,0,2000,0,TRUE,TRUE,TRUE,""
"SOCS3","Peng","pancreatic",0.129498598428227,0.257672437061753,0.447493399911695,0.0963641993737487,0.181180449713131,TRUE,FALSE,FALSE,0,0,0,2000,0,TRUE,TRUE,TRUE,""
"BCL2","Peng","pancreatic",0.201365267652271,0.370403703365251,0.578547249480016,0.153750502088728,0.259308090026175,TRUE,FALSE,FALSE,0,0,0,2000,0,TRUE,FALSE,FALSE,"no ChIP-seq evidence in any group (fails Criterion B)"
"MMP9","Peng","pancreatic",0.120240127374777,0.241795587547345,0.426642630316859,0.0609607827643364,0.22382994045038,TRUE,FALSE,FALSE,0,0,0,2000,0.0015,TRUE,FALSE,FALSE,"mouse ChIP-seq only (excluded by Amendment 2, human-only)"
"HGF","Peng","pancreatic",0.0404539714461509,0.0895617614536673,0.186684398623087,0.0280182780632816,0.0575716547151612,TRUE,FALSE,FALSE,0,0,0,2000,0,TRUE,FALSE,FALSE,"mouse ChIP-seq only (excluded by Amendment 2, human-only)"
