"cohort","patient","barcode","StromalScore","ImmuneScore","ESTIMATEScore","purity_estimate","CPE","purity_source","purity"
"TCGA-COAD","TCGA-3L-AA1B","TCGA-3L-AA1B-01A-11R-A37K-07",-448.264726944201,275.700582823119,-172.564144121082,0.836650689482806,0.7913,"CPE",0.7913
"TCGA-COAD","TCGA-4N-A93T","TCGA-4N-A93T-01A-11R-A37K-07",-1626.74277770136,-305.425647707593,-1932.16842540896,0.948804427181934,0.7898,"CPE",0.7898
"TCGA-COAD","TCGA-4T-AA8H","TCGA-4T-AA8H-01A-11R-A41B-07",-1816.85122686699,-495.630609489133,-2312.48183635612,0.964950484873696,0.8917,"CPE",0.8917
"TCGA-COAD","TCGA-5M-AAT4","TCGA-5M-AAT4-01A-11R-A41B-07",-1202.3657806433,-468.756280921734,-1671.12206156504,0.93600743804621,0.8372,"CPE",0.8372
"TCGA-COAD","TCGA-5M-AAT6","TCGA-5M-AAT6-01A-11R-A41B-07",475.02598021446,1521.47620433776,1996.50218455222,0.623135832558596,0.6712,"CPE",0.6712
"TCGA-COAD","TCGA-5M-AATE","TCGA-5M-AATE-01A-11R-A41B-07",-1002.15140062052,-138.884353062501,-1141.03575368302,0.905815213241245,0.8443,"CPE",0.8443
"TCGA-COAD","TCGA-A6-2671","TCGA-A6-2671-01A-01R-1410-07",232.301766586721,598.0229048789,830.324671465621,0.747258561189162,0.8394,"CPE",0.8394
"TCGA-COAD","TCGA-A6-2672","TCGA-A6-2672-01A-01R-0826-07",177.04559436942,1854.06412105491,2031.10971542433,0.61915468446291,0.6965,"CPE",0.6965
"TCGA-COAD","TCGA-A6-2674","TCGA-A6-2674-01A-02R-0821-07",1214.37447934067,1991.04492386604,3205.41940320671,0.475287472825903,0.551,"CPE",0.551
"TCGA-COAD","TCGA-A6-2675","TCGA-A6-2675-01A-02R-1723-07",631.475988904052,1058.14624166408,1689.62223056814,0.6577232153984,0.6193,"CPE",0.6193
"TCGA-COAD","TCGA-A6-2676","TCGA-A6-2676-01A-01R-0826-07",-50.6756725696106,1578.68496045979,1528.00928789018,0.675405980990665,0.8171,"CPE",0.8171
"TCGA-COAD","TCGA-A6-2677","TCGA-A6-2677-01A-01R-0821-07",-1274.67946375356,-359.696243651508,-1634.37570740507,0.934095271240698,0.8869,"CPE",0.8869
"TCGA-COAD","TCGA-A6-2678","TCGA-A6-2678-01A-01R-0821-07",-367.936416307571,650.83665187479,282.900235567219,0.798188832948234,0.767,"CPE",0.767
"TCGA-COAD","TCGA-A6-2679","TCGA-A6-2679-01A-02R-1410-07",-360.333790254166,1216.06472590852,855.73093565435,0.744775096264023,0.6226,"CPE",0.6226
"TCGA-COAD","TCGA-A6-2680","TCGA-A6-2680-01A-01R-1410-07",-421.26745496889,583.806008188894,162.538553220004,0.808706857317788,0.769,"CPE",0.769
"TCGA-COAD","TCGA-A6-2681","TCGA-A6-2681-01A-01R-1410-07",288.772978666409,811.886374445269,1100.65935311168,0.720307207713276,0.6939,"CPE",0.6939
"TCGA-COAD","TCGA-A6-2682","TCGA-A6-2682-01A-01R-1410-07",71.2069440519554,801.632669130292,872.839613182248,0.743096882879394,0.7927,"CPE",0.7927
"TCGA-COAD","TCGA-A6-2683","TCGA-A6-2683-01A-01R-0821-07",-982.595794122372,55.7952515139077,-926.800542608464,0.89204620476331,0.786,"CPE",0.786
"TCGA-COAD","TCGA-A6-2684","TCGA-A6-2684-01A-01R-1410-07",465.096829299444,1276.30225317605,1741.39908247549,0.651979318928982,0.725,"CPE",0.725
