"variant","cohort","attenuation_total"
"alt_endpoint","TCGA-COAD",0.071873
"alt_endpoint","TCGA-STAD",0.026247
"alt_endpoint","TCGA-ESCA",-0.009882
"alt_endpoint","TCGA-PAAD",-0.074892
"alt_endpoint","TCGA-LIHC",-0.109532
"estimate_purity","TCGA-COAD",0.101303
"estimate_purity","TCGA-READ",-0.041398
"estimate_purity","TCGA-STAD",0.067129
"estimate_purity","TCGA-ESCA",-0.061392
"estimate_purity","TCGA-PAAD",-0.135673
"estimate_purity","TCGA-LIHC",-0.138481
"score_143","TCGA-COAD",0.077145
"score_143","TCGA-READ",-0.02717
"score_143","TCGA-STAD",0.070547
"score_143","TCGA-ESCA",-0.068341
"score_143","TCGA-PAAD",-0.138488
"score_143","TCGA-LIHC",-0.134885
"no_redacted","TCGA-COAD",0.075929
"no_redacted","TCGA-READ",-0.023638
"no_redacted","TCGA-STAD",0.067129
"no_redacted","TCGA-ESCA",-0.061392
"no_redacted","TCGA-PAAD",-0.135673
"no_redacted","TCGA-LIHC",-0.128449
