"analysis","k","cohorts","n_total","est","se_hksj","ci_lo","ci_hi","p","HR","HR_lo","HR_hi","ci_lo_wald","ci_hi_wald","fe_est","fe_ci_lo","fe_ci_hi","tau2","I2","Q","Q_df","Q_p","pi_lo","pi_hi"
"alt_endpoint_M1",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.073979,0.046303,-0.045048,0.193005,0.171,1.0768,0.956,1.2129,-0.007165,0.155123,0.07398,-0.00716,0.155119,1e-06,0.01,6.2546,5,0.2822,-0.045074,0.193031
"alt_endpoint_M2",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.081354,0.028091,0.009143,0.153565,0.03395,1.0848,1.0092,1.166,-0.001467,0.164175,0.081354,-0.001467,0.164175,0,0,2.2097,5,0.8194,0.009143,0.153565
"alt_endpoint_M3",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.093237,0.04402,-0.028983,0.215457,0.1016,1.0977,0.9714,1.2404,-0.004253,0.190728,0.093231,-0.00424,0.190702,4e-06,0.04,3.1336,4,0.5357,-0.029124,0.215598
"alt_endpoint_M4",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.101348,0.048655,-0.033739,0.236436,0.1057,1.1067,0.9668,1.2667,-0.000196,0.202892,0.101347,-0.000172,0.202866,6e-06,0.04,3.529,4,0.4735,-0.033903,0.2366
"estimate_purity_M1",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.121174,0.047054,0.000219,0.24213,0.04972,1.1288,1.0002,1.274,0.0296,0.212748,0.122397,0.04004,0.204755,0.002212,16.83,6.0779,5,0.2987,-0.049837,0.292186
"estimate_purity_M2",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.122869,0.047778,5.1e-05,0.245687,0.04994,1.1307,1.0001,1.2785,0.029952,0.215786,0.123111,0.038998,0.207224,0.002178,16.09,6.0369,5,0.3026,-0.048824,0.294562
"estimate_purity_M3",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.169627,0.089391,-0.060161,0.399415,0.1162,1.1849,0.9416,1.491,-0.009058,0.348311,0.158279,0.055342,0.261217,0.029994,63.07,13.7081,5,0.01757,-0.331374,0.670628
"estimate_purity_M4",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.15186,0.085998,-0.069204,0.372924,0.1377,1.164,0.9331,1.452,-0.020026,0.323746,0.144867,0.041469,0.248265,0.026228,59.63,12.5792,5,0.02766,-0.319504,0.623223
"score_143_M1",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.121748,0.04483,0.006508,0.236987,0.04199,1.1295,1.0065,1.2674,0.034081,0.209414,0.122559,0.040402,0.204715,0.001283,10.55,5.6114,5,0.3459,-0.025756,0.269251
"score_143_M2",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.122129,0.045869,0.004217,0.24004,0.04475,1.1299,1.0042,1.2713,0.032568,0.211689,0.122388,0.038563,0.206213,0.001384,10.93,5.6524,5,0.3415,-0.029696,0.273953
"score_143_M3",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.157238,0.076178,-0.038583,0.353059,0.09394,1.1703,0.9622,1.4234,0.007285,0.307192,0.144532,0.045412,0.243651,0.017779,52.53,10.6241,5,0.05936,-0.237514,0.55199
"score_143_M4",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1755,0.153401,0.082821,-0.059498,0.3663,0.1232,1.1658,0.9422,1.4424,-0.012999,0.319802,0.147397,0.043715,0.251079,0.023303,56.61,11.7246,5,0.03876,-0.293041,0.599844
"no_redacted_M1",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1754,0.121394,0.04724,-4.1e-05,0.242829,0.05005,1.1291,1,1.2749,0.029413,0.213376,0.122654,0.040261,0.205047,0.002309,17.43,6.1164,5,0.2951,-0.051823,0.294611
"no_redacted_M2",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1754,0.122392,0.047524,0.000228,0.244557,0.04971,1.1302,1.0002,1.2771,0.030069,0.214716,0.122587,0.038458,0.206716,0.002019,15.08,5.9769,5,0.3085,-0.045728,0.290512
"no_redacted_M3",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1754,0.156609,0.077001,-0.041329,0.354548,0.09763,1.1695,0.9595,1.4255,0.00592,0.307298,0.143318,0.044916,0.241721,0.018335,53.65,10.8845,5,0.05372,-0.243811,0.55703
"no_redacted_M4",6,"COAD+READ+STAD+ESCA+PAAD+LIHC",1754,0.151737,0.083077,-0.061819,0.365294,0.1273,1.1639,0.9401,1.4409,-0.014167,0.317642,0.145109,0.042323,0.247895,0.023399,57.15,11.8572,5,0.0368,-0.295726,0.5992
