"variant","cohort","model","n","events","epv","band","fitted","beta","se","HR","meta_eligible","rows_dropped_vs_primary"
"alt_endpoint","TCGA-COAD","M1",455,117,117,"fit_and_pool",TRUE,0.038136,0.09186,1.0389,TRUE,0
"alt_endpoint","TCGA-COAD","M2",455,117,23.4,"fit_and_pool",TRUE,0.046104,0.094846,1.0472,TRUE,0
"alt_endpoint","TCGA-COAD","M3",455,117,19.5,"fit_and_pool",TRUE,0.022932,0.109631,1.0232,TRUE,0
"alt_endpoint","TCGA-COAD","M4",455,117,16.71,"fit_and_pool",TRUE,-0.025769,0.128325,0.9746,TRUE,0
"alt_endpoint","TCGA-READ","M1",165,25,25,"fit_and_pool",TRUE,-0.219597,0.189877,0.8028,TRUE,0
"alt_endpoint","TCGA-READ","M2",165,25,5,"fit_pool_flag_LOO",TRUE,0.057907,0.187654,1.0596,TRUE,0
"alt_endpoint","TCGA-READ","M3",165,25,4.17,"do_not_fit",FALSE,NA,NA,NA,TRUE,0
"alt_endpoint","TCGA-READ","M4",165,25,3.57,"do_not_fit",FALSE,NA,NA,NA,TRUE,0
"alt_endpoint","TCGA-STAD","M1",403,130,130,"fit_and_pool",TRUE,0.089976,0.090492,1.0941,TRUE,3
"alt_endpoint","TCGA-STAD","M2",403,130,26,"fit_and_pool",TRUE,0.065895,0.09249,1.0681,TRUE,3
"alt_endpoint","TCGA-STAD","M3",403,130,21.67,"fit_and_pool",TRUE,0.041162,0.09985,1.042,TRUE,3
"alt_endpoint","TCGA-STAD","M4",403,130,18.57,"fit_and_pool",TRUE,0.039648,0.099867,1.0404,TRUE,3
"alt_endpoint","TCGA-ESCA","M1",184,87,87,"fit_and_pool",TRUE,-0.022068,0.108971,0.9782,TRUE,0
"alt_endpoint","TCGA-ESCA","M2",184,87,17.4,"fit_and_pool",TRUE,0.079081,0.110415,1.0823,TRUE,0
"alt_endpoint","TCGA-ESCA","M3",184,87,14.5,"fit_and_pool",TRUE,0.124189,0.125207,1.1322,TRUE,0
"alt_endpoint","TCGA-ESCA","M4",184,87,12.43,"fit_and_pool",TRUE,0.088963,0.128255,1.093,TRUE,0
"alt_endpoint","TCGA-PAAD","M1",178,104,104,"fit_and_pool",TRUE,0.268797,0.116596,1.3084,TRUE,0
"alt_endpoint","TCGA-PAAD","M2",178,104,20.8,"fit_and_pool",TRUE,0.24213,0.117864,1.274,TRUE,0
"alt_endpoint","TCGA-PAAD","M3",178,104,17.33,"fit_and_pool",TRUE,0.337466,0.158132,1.4014,TRUE,0
"alt_endpoint","TCGA-PAAD","M4",178,104,14.86,"fit_and_pool",TRUE,0.317022,0.160614,1.373,TRUE,0
"alt_endpoint","TCGA-LIHC","M1",370,178,178,"fit_and_pool",TRUE,0.100641,0.07972,1.1059,TRUE,0
"alt_endpoint","TCGA-LIHC","M2",370,178,35.6,"fit_and_pool",TRUE,0.047953,0.081768,1.0491,TRUE,0
"alt_endpoint","TCGA-LIHC","M3",370,178,29.67,"fit_and_pool",TRUE,0.087504,0.092427,1.0914,TRUE,0
"alt_endpoint","TCGA-LIHC","M4",370,178,25.43,"fit_and_pool",TRUE,0.157485,0.094413,1.1706,TRUE,0
"alt_endpoint","TCGA-CHOL","M1",35,20,20,"fit_and_pool",TRUE,-0.382076,0.231324,0.6824,FALSE,0
"alt_endpoint","TCGA-CHOL","M2",35,20,4,"do_not_fit",FALSE,NA,NA,NA,FALSE,0
"alt_endpoint","TCGA-CHOL","M3",35,20,3.33,"do_not_fit",FALSE,NA,NA,NA,FALSE,0
