"cohort","model","n","events","params","epv","band","use_sex","fitted","beta","se","HR","HR_lo","HR_hi","p","meta_eligible"
"TCGA-COAD","M1",455,102,1,102,"fit_and_pool",TRUE,TRUE,0.005159,0.094338,1.0052,0.8355,1.2093,0.9564,TRUE
"TCGA-COAD","M2",455,102,5,20.4,"fit_and_pool",TRUE,TRUE,0.004596,0.098124,1.0046,0.8288,1.2176,0.9626,TRUE
"TCGA-COAD","M3",455,102,6,17,"fit_and_pool",TRUE,TRUE,-0.019686,0.118769,0.9805,0.7769,1.2375,0.8684,TRUE
"TCGA-COAD","M4",455,102,7,14.57,"fit_and_pool",TRUE,TRUE,-0.071333,0.137779,0.9312,0.7108,1.2198,0.6046,TRUE
"TCGA-READ","M1",165,36,1,36,"fit_and_pool",TRUE,TRUE,-0.035099,0.166886,0.9655,0.6961,1.3391,0.8334,TRUE
"TCGA-READ","M2",165,36,5,7.2,"fit_pool_flag_LOO",TRUE,TRUE,-0.045714,0.157689,0.9553,0.7013,1.3013,0.7719,TRUE
"TCGA-READ","M3",165,36,6,6,"fit_pool_flag_LOO",TRUE,TRUE,0.016465,0.18771,1.0166,0.7037,1.4687,0.9301,TRUE
"TCGA-READ","M4",165,36,7,5.14,"fit_pool_flag_LOO",TRUE,TRUE,-0.022076,0.221829,0.9782,0.6333,1.5109,0.9207,TRUE
"TCGA-STAD","M1",403,157,1,157,"fit_and_pool",TRUE,TRUE,0.113122,0.08345,1.1198,0.9508,1.3187,0.1752,TRUE
"TCGA-STAD","M2",403,157,5,31.4,"fit_and_pool",TRUE,TRUE,0.075526,0.085496,1.0785,0.9121,1.2752,0.377,TRUE
"TCGA-STAD","M3",403,157,6,26.17,"fit_and_pool",TRUE,TRUE,0.012236,0.092029,1.0123,0.8452,1.2124,0.8942,TRUE
"TCGA-STAD","M4",403,157,7,22.43,"fit_and_pool",TRUE,TRUE,0.008397,0.092021,1.0084,0.842,1.2077,0.9273,TRUE
"TCGA-ESCA","M1",184,77,1,77,"fit_and_pool",TRUE,TRUE,0.054184,0.115658,1.0557,0.8416,1.3243,0.6394,TRUE
"TCGA-ESCA","M2",184,77,5,15.4,"fit_and_pool",TRUE,TRUE,0.146456,0.118195,1.1577,0.9183,1.4595,0.2153,TRUE
"TCGA-ESCA","M3",184,77,6,12.83,"fit_and_pool",TRUE,TRUE,0.211618,0.136952,1.2357,0.9448,1.6161,0.1223,TRUE
"TCGA-ESCA","M4",184,77,7,11,"fit_and_pool",TRUE,TRUE,0.207848,0.13923,1.231,0.937,1.6173,0.1355,TRUE
"TCGA-PAAD","M1",178,93,1,93,"fit_and_pool",TRUE,TRUE,0.276873,0.117908,1.319,1.0468,1.6619,0.01886,TRUE
"TCGA-PAAD","M2",178,93,5,18.6,"fit_and_pool",TRUE,TRUE,0.275399,0.121129,1.3171,1.0387,1.67,0.02299,TRUE
"TCGA-PAAD","M3",178,93,6,15.5,"fit_and_pool",TRUE,TRUE,0.457845,0.169187,1.5807,1.1346,2.2022,0.006807,TRUE
"TCGA-PAAD","M4",178,93,7,13.29,"fit_and_pool",TRUE,TRUE,0.411072,0.173273,1.5084,1.0741,2.1185,0.01767,TRUE
"TCGA-LIHC","M1",370,130,1,130,"fit_and_pool",TRUE,TRUE,0.233098,0.088456,1.2625,1.0615,1.5015,0.008409,TRUE
"TCGA-LIHC","M2",370,130,5,26,"fit_and_pool",TRUE,TRUE,0.233928,0.090408,1.2636,1.0584,1.5085,0.009668,TRUE
"TCGA-LIHC","M3",370,130,6,21.67,"fit_and_pool",TRUE,TRUE,0.321546,0.104778,1.3793,1.1232,1.6937,0.002149,TRUE
"TCGA-LIHC","M4",370,130,7,18.57,"fit_and_pool",TRUE,TRUE,0.362574,0.106751,1.437,1.1657,1.7715,0.0006827,TRUE
"TCGA-CHOL","M1",35,18,1,18,"fit_and_pool",TRUE,TRUE,-0.160616,0.216782,0.8516,0.5568,1.3025,0.4587,FALSE
"TCGA-CHOL","M2",35,18,5,3.6,"do_not_fit",TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"TCGA-CHOL","M3",35,18,6,3,"do_not_fit",TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"TCGA-CHOL","M4",35,18,7,2.57,"do_not_fit",TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE
