"cohort","term","GVIF","Df","GVIF_adj"
"TCGA-COAD","score",2.0241,1,1.4227
"TCGA-COAD","age",1.0764,1,1.0375
"TCGA-COAD","sex",1.0661,1,1.0325
"TCGA-COAD","stage_group",1.0735,2,1.0179
"TCGA-COAD","purity",2.0018,1,1.4149
"TCGA-COAD","stromal_score",2.61,1,1.6156
"TCGA-READ","score",2.1016,1,1.4497
"TCGA-READ","age",1.0448,1,1.0222
"TCGA-READ","sex",1.1781,1,1.0854
"TCGA-READ","stage_group",1.089,2,1.0215
"TCGA-READ","purity",2.072,1,1.4395
"TCGA-READ","stromal_score",2.7767,1,1.6663
"TCGA-STAD","score",1.1743,1,1.0837
"TCGA-STAD","age",1.0363,1,1.018
"TCGA-STAD","sex",1.0176,1,1.0088
"TCGA-STAD","stage_group",1.0686,2,1.0167
"TCGA-STAD","purity",5.2137,1,2.2834
"TCGA-STAD","stromal_score",5.0891,1,2.2559
"TCGA-ESCA","score",1.5136,1,1.2303
"TCGA-ESCA","age",1.0683,1,1.0336
"TCGA-ESCA","sex",1.0672,1,1.033
"TCGA-ESCA","stage_group",1.158,2,1.0374
"TCGA-ESCA","purity",7.9567,1,2.8208
"TCGA-ESCA","stromal_score",8.0262,1,2.833
"TCGA-PAAD","score",1.7985,1,1.3411
"TCGA-PAAD","age",1.0091,1,1.0045
"TCGA-PAAD","sex",1.009,1,1.0045
"TCGA-PAAD","stage_group",1.0137,2,1.0034
"TCGA-PAAD","purity",7.2387,1,2.6905
"TCGA-PAAD","stromal_score",7.2281,1,2.6885
"TCGA-LIHC","score",1.3918,1,1.1797
"TCGA-LIHC","age",1.1587,1,1.0764
"TCGA-LIHC","sex",1.096,1,1.0469
"TCGA-LIHC","stage_group",1.0964,2,1.0233
"TCGA-LIHC","purity",1.7739,1,1.3319
"TCGA-LIHC","stromal_score",1.6807,1,1.2964
