"list_id","n_genes","gene","in_locked_panel_152","origin_six","chromosome","pseudoautosomal","par_region","in_primary_140","max_detection_pct","n_atlases_evaluable","n_annotation_rows"
"primary_140",140,"MYC",TRUE,TRUE,"chr8",FALSE,NA,TRUE,54.6719,3,1
"primary_140",140,"IL6",TRUE,TRUE,"chr7",FALSE,NA,TRUE,12.8697,3,1
"primary_140",140,"SOCS3",TRUE,TRUE,"chr17",FALSE,NA,TRUE,84.6229,3,1
"primary_140",140,"ACVR1B",TRUE,FALSE,"chr12",FALSE,NA,TRUE,26.6764,3,1
"primary_140",140,"ACVRL1",TRUE,FALSE,"chr12",FALSE,NA,TRUE,57.9628,3,1
"primary_140",140,"BAK1",TRUE,FALSE,"chr6",FALSE,NA,TRUE,32.1924,3,1
"primary_140",140,"CBL",TRUE,FALSE,"chr11",FALSE,NA,TRUE,21.4011,3,1
"primary_140",140,"CCL7",TRUE,FALSE,"chr17",FALSE,NA,TRUE,8.7134,2,1
"primary_140",140,"CCR1",TRUE,FALSE,"chr3",FALSE,NA,TRUE,34.8073,3,1
"primary_140",140,"CD14",TRUE,FALSE,"chr5",FALSE,NA,TRUE,74.3282,3,1
"primary_140",140,"CD36",TRUE,FALSE,"chr7",FALSE,NA,TRUE,45.2889,3,1
"primary_140",140,"CD38",TRUE,FALSE,"chr4",FALSE,NA,TRUE,22.9167,3,1
"primary_140",140,"CD44",TRUE,FALSE,"chr11",FALSE,NA,TRUE,85.4167,3,1
"primary_140",140,"CD9",TRUE,FALSE,"chr12",FALSE,NA,TRUE,93.75,3,1
"primary_140",140,"CNTFR",TRUE,FALSE,"chr9",FALSE,NA,TRUE,1.0025,3,1
"primary_140",140,"CSF1",TRUE,FALSE,"chr1",FALSE,NA,TRUE,19.059,3,1
"primary_140",140,"CSF2",TRUE,FALSE,"chr5",FALSE,NA,TRUE,1.1034,2,1
"primary_140",140,"CSF2RB",TRUE,FALSE,"chr22",FALSE,NA,TRUE,25.1994,3,1
"primary_140",140,"CSF3R",TRUE,FALSE,"chr1",FALSE,NA,TRUE,36.3599,3,1
"primary_140",140,"CXCL1",TRUE,FALSE,"chr4",FALSE,NA,TRUE,31.4803,3,1
"primary_140",140,"CXCL10",TRUE,FALSE,"chr4",FALSE,NA,TRUE,14.7606,3,1
"primary_140",140,"CXCL11",TRUE,FALSE,"chr4",FALSE,NA,TRUE,7.0264,3,1
"primary_140",140,"CXCL13",TRUE,FALSE,"chr4",FALSE,NA,TRUE,15.589,3,1
"primary_140",140,"CXCL3",TRUE,FALSE,"chr4",FALSE,NA,TRUE,44.0017,3,1
"primary_140",140,"CXCL9",TRUE,FALSE,"chr4",FALSE,NA,TRUE,14.4947,3,1
"primary_140",140,"EBI3",TRUE,FALSE,"chr19",FALSE,NA,TRUE,8.7197,3,1
"primary_140",140,"FAS",TRUE,FALSE,"chr10",FALSE,NA,TRUE,21.3049,3,1
"primary_140",140,"GRB2",TRUE,FALSE,"chr17",FALSE,NA,TRUE,57.7565,3,1
"primary_140",140,"HAX1",TRUE,FALSE,"chr1",FALSE,NA,TRUE,55.3386,3,1
"primary_140",140,"IFNGR1",TRUE,FALSE,"chr6",FALSE,NA,TRUE,74.2264,3,1
"primary_140",140,"IFNGR2",TRUE,FALSE,"chr21",FALSE,NA,TRUE,60.5456,3,1
"primary_140",140,"IL10RB",TRUE,FALSE,"chr21",FALSE,NA,TRUE,38.4161,3,1
"primary_140",140,"IL12RB1",TRUE,FALSE,"chr19",FALSE,NA,TRUE,11.0318,3,1
"primary_140",140,"IL15RA",TRUE,FALSE,"chr10",FALSE,NA,TRUE,25.2693,3,1
"primary_140",140,"IL17RA",TRUE,FALSE,"chr22",FALSE,NA,TRUE,23.1474,3,1
"primary_140",140,"IL17RB",TRUE,FALSE,"chr3",FALSE,NA,TRUE,16.6667,3,1
"primary_140",140,"IL18R1",TRUE,FALSE,"chr2",FALSE,NA,TRUE,14.5833,3,1
"primary_140",140,"IL1B",TRUE,FALSE,"chr2",FALSE,NA,TRUE,48.0053,3,1
"primary_140",140,"IL1R1",TRUE,FALSE,"chr2",FALSE,NA,TRUE,36.1998,3,1
"primary_140",140,"IL1R2",TRUE,FALSE,"chr2",FALSE,NA,TRUE,13.0438,3,1
"primary_140",140,"IL2RA",TRUE,FALSE,"chr10",FALSE,NA,TRUE,11.2316,3,1
"primary_140",140,"IL4R",TRUE,FALSE,"chr16",FALSE,NA,TRUE,38.5309,3,1
"primary_140",140,"IL6ST",TRUE,FALSE,"chr5",FALSE,NA,TRUE,83.9177,3,1
"primary_140",140,"IL7",TRUE,FALSE,"chr8",FALSE,NA,TRUE,11.6176,3,1
"primary_140",140,"INHBE",TRUE,FALSE,"chr12",FALSE,NA,TRUE,10.2456,2,1
