"gene","in_locked_panel_152","origin_six","chromosome","pseudoautosomal","max_detection_pct","n_atlases_evaluable","n_annotation_rows"
"MYC",TRUE,TRUE,"chr8",FALSE,54.6719,3,1
"IL6",TRUE,TRUE,"chr7",FALSE,12.8697,3,1
"SOCS3",TRUE,TRUE,"chr17",FALSE,84.6229,3,1
"ACVR1B",TRUE,FALSE,"chr12",FALSE,26.6764,3,1
"ACVRL1",TRUE,FALSE,"chr12",FALSE,57.9628,3,1
"BAK1",TRUE,FALSE,"chr6",FALSE,32.1924,3,1
"CBL",TRUE,FALSE,"chr11",FALSE,21.4011,3,1
"CCL7",TRUE,FALSE,"chr17",FALSE,8.7134,2,1
"CCR1",TRUE,FALSE,"chr3",FALSE,34.8073,3,1
"CD14",TRUE,FALSE,"chr5",FALSE,74.3282,3,1
"CD36",TRUE,FALSE,"chr7",FALSE,45.2889,3,1
"CD38",TRUE,FALSE,"chr4",FALSE,22.9167,3,1
"CD44",TRUE,FALSE,"chr11",FALSE,85.4167,3,1
"CD9",TRUE,FALSE,"chr12",FALSE,93.75,3,1
"CNTFR",TRUE,FALSE,"chr9",FALSE,1.0025,3,1
"CSF1",TRUE,FALSE,"chr1",FALSE,19.059,3,1
"CSF2",TRUE,FALSE,"chr5",FALSE,1.1034,2,1
"CSF2RA",TRUE,FALSE,"chrX/chrY",TRUE,44.0961,3,2
"CSF2RB",TRUE,FALSE,"chr22",FALSE,25.1994,3,1
"CSF3R",TRUE,FALSE,"chr1",FALSE,36.3599,3,1
"CXCL1",TRUE,FALSE,"chr4",FALSE,31.4803,3,1
"CXCL10",TRUE,FALSE,"chr4",FALSE,14.7606,3,1
"CXCL11",TRUE,FALSE,"chr4",FALSE,7.0264,3,1
"CXCL13",TRUE,FALSE,"chr4",FALSE,15.589,3,1
"CXCL3",TRUE,FALSE,"chr4",FALSE,44.0017,3,1
"CXCL9",TRUE,FALSE,"chr4",FALSE,14.4947,3,1
"EBI3",TRUE,FALSE,"chr19",FALSE,8.7197,3,1
"FAS",TRUE,FALSE,"chr10",FALSE,21.3049,3,1
"GRB2",TRUE,FALSE,"chr17",FALSE,57.7565,3,1
"HAX1",TRUE,FALSE,"chr1",FALSE,55.3386,3,1
"IFNGR1",TRUE,FALSE,"chr6",FALSE,74.2264,3,1
"IFNGR2",TRUE,FALSE,"chr21",FALSE,60.5456,3,1
"IL10RB",TRUE,FALSE,"chr21",FALSE,38.4161,3,1
"IL12RB1",TRUE,FALSE,"chr19",FALSE,11.0318,3,1
"IL15RA",TRUE,FALSE,"chr10",FALSE,25.2693,3,1
"IL17RA",TRUE,FALSE,"chr22",FALSE,23.1474,3,1
"IL17RB",TRUE,FALSE,"chr3",FALSE,16.6667,3,1
"IL18R1",TRUE,FALSE,"chr2",FALSE,14.5833,3,1
"IL1B",TRUE,FALSE,"chr2",FALSE,48.0053,3,1
"IL1R1",TRUE,FALSE,"chr2",FALSE,36.1998,3,1
"IL1R2",TRUE,FALSE,"chr2",FALSE,13.0438,3,1
"IL2RA",TRUE,FALSE,"chr10",FALSE,11.2316,3,1
"IL3RA",TRUE,FALSE,"chrX/chrY",TRUE,61.097,3,2
"IL4R",TRUE,FALSE,"chr16",FALSE,38.5309,3,1
"IL6ST",TRUE,FALSE,"chr5",FALSE,83.9177,3,1
"IL7",TRUE,FALSE,"chr8",FALSE,11.6176,3,1
"IL9R",TRUE,FALSE,"chrX/chrY",TRUE,4.1667,2,2
"INHBE",TRUE,FALSE,"chr12",FALSE,10.2456,2,1
"IRF9",TRUE,FALSE,"chr14",FALSE,19.8724,3,1
"ITGA4",TRUE,FALSE,"chr2",FALSE,17.9886,3,1
"ITGB3",TRUE,FALSE,"chr17",FALSE,5.2358,2,1
"JUN",TRUE,FALSE,"chr1",FALSE,85.4654,3,1
"LEPR",TRUE,FALSE,"chr1",FALSE,31.8315,3,1
"LTB",TRUE,FALSE,"chr6",FALSE,79.9082,3,1
"LTBR",TRUE,FALSE,"chr12",FALSE,53.2438,3,1
"MAP3K8",TRUE,FALSE,"chr10",FALSE,42.0213,3,1
"OSMR",TRUE,FALSE,"chr5",FALSE,42.0764,3,1
"PDGFC",TRUE,FALSE,"chr4",FALSE,24.8824,3,1
"PF4",TRUE,FALSE,"chr4",FALSE,7.6517,3,1
"PIK3R5",TRUE,FALSE,"chr17",FALSE,14.0896,3,1
